BkNo	Year	Day	hh	mm	ss	mss	ns	Azimuth(deg)	Elevation(deg	)Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
7	2016	240	17	5	54	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2907	1	0
7	2016	240	17	5	55	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2907	1	0
7	2016	240	17	5	56	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2907	1	0
7	2016	240	17	5	57	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2907	1	0
7	2016	240	17	5	58	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2907	1	0
7	2016	240	17	5	59	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2907	1	0
8	2016	240	17	6	0	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2908	1	0
8	2016	240	17	6	1	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2908	1	0
8	2016	240	17	6	2	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2908	1	0
8	2016	240	17	6	3	0	0	162.44	1.55	0	3	f8	f0	8	4	4	2908	1	0
8	2016	240	17	6	4	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2908	1	0
8	2016	240	17	6	5	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2908	1	0
8	2016	240	17	6	6	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2908	1	0
8	2016	240	17	6	7	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2908	1	0
8	2016	240	17	6	8	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2908	1	0
8	2016	240	17	6	9	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2908	1	0
9	2016	240	17	6	10	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2909	1	0
9	2016	240	17	6	11	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2909	1	0
9	2016	240	17	6	12	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2909	1	0
9	2016	240	17	6	13	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2909	1	0
9	2016	240	17	6	14	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2909	1	0
9	2016	240	17	6	15	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2909	1	0
9	2016	240	17	6	16	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2909	1	0
9	2016	240	17	6	17	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2909	1	0
9	2016	240	17	6	18	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2909	1	0
9	2016	240	17	6	19	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2909	1	0
10	2016	240	17	6	20	0	0	162.43	1.55	0	3	f8	f0	8	4	4	290a	1	0
10	2016	240	17	6	21	0	0	162.44	1.55	0	3	f8	f0	8	4	4	290a	1	0
10	2016	240	17	6	22	0	0	162.44	1.55	0	3	f8	f0	8	4	4	290a	1	0
10	2016	240	17	6	23	0	0	162.44	1.55	0	3	f8	f0	8	4	4	290a	1	0
10	2016	240	17	6	24	0	0	162.44	1.55	0	3	f8	f0	8	4	4	290a	1	0
10	2016	240	17	6	25	0	0	162.43	1.55	0	3	f8	f0	8	4	4	290a	1	0
10	2016	240	17	6	26	0	0	162.35	1.55	0	3	f8	f0	8	4	4	290a	1	0
