BkNo	Year	Day	hh	mm	ss	mss	ns	Azimuth(deg)	Elevation(deg	)Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
29	2016	240	17	9	33	0	0	158.95	15.99	0	0	f8	f0	8	4	4	291d	1	0
29	2016	240	17	9	34	0	0	158.92	16.1	0	0	f8	f0	8	4	4	291d	1	0
29	2016	240	17	9	35	0	0	158.89	16.21	0	0	f8	f0	8	4	4	291d	1	0
29	2016	240	17	9	36	0	0	158.86	16.33	0	0	f8	f0	8	4	4	291d	1	0
29	2016	240	17	9	37	0	0	158.83	16.44	0	0	f8	f0	8	4	4	291d	1	0
29	2016	240	17	9	38	0	0	158.79	16.54	0	0	f8	f0	8	4	4	291d	1	0
29	2016	240	17	9	39	0	0	158.75	16.65	0	0	f8	f0	8	4	4	291d	1	0
30	2016	240	17	9	40	0	0	158.73	16.76	0	0	f8	f0	8	4	4	291e	1	0
30	2016	240	17	9	41	0	0	158.71	16.87	0	0	f8	f0	8	4	4	291e	1	0
30	2016	240	17	9	42	0	0	158.68	16.99	0	0	f8	f0	8	4	4	291e	1	0
30	2016	240	17	9	43	0	0	158.64	17.1	0	0	f8	f0	8	4	4	291e	1	0
30	2016	240	17	9	44	0	0	158.61	17.23	0	0	f8	f0	8	4	4	291e	1	0
30	2016	240	17	9	45	0	0	158.57	17.36	0	0	f8	f0	8	4	4	291e	1	0
30	2016	240	17	9	46	0	0	158.55	17.47	0	0	f8	f0	8	4	4	291e	1	0
30	2016	240	17	9	47	0	0	158.51	17.59	0	0	f8	f0	8	4	4	291e	1	0
30	2016	240	17	9	48	0	0	158.48	17.71	0	0	f8	f0	8	4	4	291e	1	0
30	2016	240	17	9	49	0	0	158.44	17.83	0	0	f8	f0	8	4	4	291e	1	0
31	2016	240	17	9	50	0	0	158.41	17.95	0	0	f8	f0	8	4	4	291f	1	0
31	2016	240	17	9	51	0	0	158.37	18.07	0	0	f8	f0	8	4	4	291f	1	0
31	2016	240	17	9	52	0	0	158.36	18.19	0	0	f8	f0	8	4	4	291f	1	0
31	2016	240	17	9	53	0	0	158.3	18.31	0	0	f8	f0	8	4	4	291f	1	0
31	2016	240	17	9	54	0	0	158.27	18.44	0	0	f8	f0	8	4	4	291f	1	0
31	2016	240	17	9	55	0	0	158.22	18.55	0	0	f8	f0	8	4	4	291f	1	0
31	2016	240	17	9	56	0	0	158.19	18.67	0	0	f8	f0	8	4	4	291f	1	0
31	2016	240	17	9	57	0	0	158.17	18.78	0	0	f8	f0	8	4	4	291f	1	0
31	2016	240	17	9	58	0	0	158.12	18.9	0	0	f8	f0	8	4	4	291f	1	0
31	2016	240	17	9	59	0	0	158.07	19.02	0	0	f8	f0	8	4	4	291f	1	0
32	2016	240	17	10	0	0	0	158.03	19.15	0	0	f8	f0	8	4	4	2920	1	0
32	2016	240	17	10	1	0	0	158.02	19.28	0	0	f8	f0	8	4	4	2920	1	0
32	2016	240	17	10	2	0	0	157.97	19.4	0	0	f8	f0	8	4	4	2920	1	0
32	2016	240	17	10	3	0	0	157.93	19.54	0	0	f8	f0	8	4	4	2920	1	0
32	2016	240	17	10	4	0	0	157.89	19.67	0	0	f8	f0	8	4	4	2920	1	0
32	2016	240	17	10	5	0	0	157.85	19.8	0	0	f8	f0	8	4	4	2920	1	0
32	2016	240	17	10	6	0	0	157.83	19.93	0	0	f8	f0	8	4	4	2920	1	0
32	2016	240	17	10	7	0	0	157.79	20.06	0	0	f8	f0	8	4	4	2920	1	0
32	2016	240	17	10	8	0	0	157.74	20.19	0	0	f8	f0	8	4	4	2920	1	0
32	2016	240	17	10	9	0	0	157.69	20.33	0	0	f8	f0	8	4	4	2920	1	0
33	2016	240	17	10	10	0	0	157.65	20.46	0	0	f8	f0	8	4	4	2921	1	0
33	2016	240	17	10	11	0	0	157.62	20.6	0	0	f8	f0	8	4	4	2921	1	0
33	2016	240	17	10	12	0	0	157.57	20.73	0	0	f8	f0	8	4	4	2921	1	0
33	2016	240	17	10	13	0	0	157.52	20.87	0	0	f8	f0	8	4	4	2921	1	0
33	2016	240	17	10	14	0	0	157.49	21.01	0	0	f8	f0	8	4	4	2921	1	0
33	2016	240	17	10	15	0	0	157.45	21.14	0	0	f8	f0	8	4	4	2921	1	0
33	2016	240	17	10	16	0	0	157.41	21.28	0	0	f8	f0	8	4	4	2921	1	0
33	2016	240	17	10	17	0	0	157.35	21.41	0	0	f8	f0	8	4	4	2921	1	0
33	2016	240	17	10	18	0	0	157.31	21.54	0	0	f8	f0	8	4	4	2921	1	0
33	2016	240	17	10	19	0	0	157.28	21.67	0	0	f8	f0	8	4	4	2921	1	0
34	2016	240	17	10	20	0	0	157.23	21.81	0	0	f8	f0	8	4	4	2922	1	0
34	2016	240	17	10	21	0	0	157.17	21.95	0	0	f8	f0	8	4	4	2922	1	0
34	2016	240	17	10	22	0	0	157.12	22.09	0	0	f8	f0	8	4	4	2922	1	0
34	2016	240	17	10	23	0	0	157.09	22.24	0	0	f8	f0	8	4	4	2922	1	0
34	2016	240	17	10	24	0	0	157.05	22.37	0	0	f8	f0	8	4	4	2922	1	0
34	2016	240	17	10	25	0	0	156.99	22.52	0	0	f8	f0	8	4	4	2922	1	0
34	2016	240	17	10	26	0	0	156.94	22.67	0	0	f8	f0	8	4	4	2922	1	0
34	2016	240	17	10	27	0	0	156.9	22.82	0	0	f8	f0	8	4	4	2922	1	0
34	2016	240	17	10	28	0	0	156.85	22.96	0	0	f8	f0	8	4	4	2922	1	0
34	2016	240	17	10	29	0	0	156.8	23.11	0	0	f8	f0	8	4	4	2922	1	0
35	2016	240	17	10	30	0	0	156.75	23.26	0	0	f8	f0	8	4	4	2923	1	0
35	2016	240	17	10	31	0	0	156.71	23.41	0	0	f8	f0	8	4	4	2923	1	0
35	2016	240	17	10	32	0	0	156.65	23.57	0	0	f8	f0	8	4	4	2923	1	0
35	2016	240	17	10	33	0	0	156.59	23.72	0	0	f8	f0	8	4	4	2923	1	0
35	2016	240	17	10	34	0	0	156.55	23.87	0	0	f8	f0	8	4	4	2923	1	0
35	2016	240	17	10	35	0	0	156.5	24.01	0	0	f8	f0	8	4	4	2923	1	0
35	2016	240	17	10	36	0	0	156.44	24.17	0	0	f8	f0	8	4	4	2923	1	0
35	2016	240	17	10	37	0	0	156.39	24.31	0	0	f8	f0	8	4	4	2923	1	0
35	2016	240	17	10	38	0	0	156.35	24.47	0	0	f8	f0	8	4	4	2923	1	0
35	2016	240	17	10	39	0	0	156.28	24.63	0	0	f8	f0	8	4	4	2923	1	0
36	2016	240	17	10	40	0	0	156.22	24.79	0	0	f8	f0	8	4	4	2924	1	0
36	2016	240	17	10	41	0	0	156.17	24.95	0	0	f8	f0	8	4	4	2924	1	0
36	2016	240	17	10	42	0	0	156.11	25.1	0	0	f8	f0	8	4	4	2924	1	0
36	2016	240	17	10	43	0	0	156.05	25.27	0	0	f8	f0	8	4	4	2924	1	0
36	2016	240	17	10	44	0	0	156.01	25.43	0	0	f8	f0	8	4	4	2924	1	0
36	2016	240	17	10	45	0	0	155.95	25.59	0	0	f8	f0	8	4	4	2924	1	0
36	2016	240	17	10	46	0	0	155.88	25.76	0	0	f8	f0	8	4	4	2924	1	0
36	2016	240	17	10	47	0	0	155.83	25.92	0	0	f8	f0	8	4	4	2924	1	0
36	2016	240	17	10	48	0	0	155.77	26.08	0	0	f8	f0	8	4	4	2924	1	0
36	2016	240	17	10	49	0	0	155.7	26.25	0	0	f8	f0	8	4	4	2924	1	0
37	2016	240	17	10	50	0	0	155.65	26.42	0	0	f8	f0	8	4	4	2925	1	0
37	2016	240	17	10	51	0	0	155.6	26.58	0	0	f8	f0	8	4	4	2925	1	0
37	2016	240	17	10	52	0	0	155.53	26.75	0	0	f8	f0	8	4	4	2925	1	0
37	2016	240	17	10	53	0	0	155.48	26.92	0	0	f8	f0	8	4	4	2925	1	0
37	2016	240	17	10	54	0	0	155.41	27.09	0	0	f8	f0	8	4	4	2925	1	0
37	2016	240	17	10	55	0	0	155.34	27.26	0	0	f8	f0	8	4	4	2925	1	0
37	2016	240	17	10	56	0	0	155.29	27.44	0	0	f8	f0	8	4	4	2925	1	0
37	2016	240	17	10	57	0	0	155.22	27.61	0	0	f8	f0	8	4	4	2925	1	0
37	2016	240	17	10	58	0	0	155.16	27.78	0	0	f8	f0	8	4	4	2925	1	0
37	2016	240	17	10	59	0	0	155.1	27.96	0	0	f8	f0	8	4	4	2925	1	0
38	2016	240	17	11	0	0	0	155.02	28.13	0	0	f8	f0	8	4	4	2926	1	0
38	2016	240	17	11	1	0	0	154.96	28.32	0	0	f8	f0	8	4	4	2926	1	0
38	2016	240	17	11	2	0	0	154.89	28.49	0	0	f8	f0	8	4	4	2926	1	0
38	2016	240	17	11	3	0	0	154.82	28.67	0	0	f8	f0	8	4	4	2926	1	0
38	2016	240	17	11	4	0	0	154.76	28.85	0	0	f8	f0	8	4	4	2926	1	0
38	2016	240	17	11	5	0	0	154.68	29.02	0	0	f8	f0	8	4	4	2926	1	0
38	2016	240	17	11	6	0	0	154.61	29.2	0	0	f8	f0	8	4	4	2926	1	0
38	2016	240	17	11	7	0	0	154.54	29.39	0	0	f8	f0	8	4	4	2926	1	0
38	2016	240	17	11	8	0	0	154.46	29.58	0	0	f8	f0	8	4	4	2926	1	0
38	2016	240	17	11	9	0	0	154.39	29.77	0	0	f8	f0	8	4	4	2926	1	0
39	2016	240	17	11	10	0	0	154.3	29.97	0	0	f8	f0	8	4	4	2927	1	0
39	2016	240	17	11	11	0	0	154.23	30.17	0	0	f8	f0	8	4	4	2927	1	0
39	2016	240	17	11	12	0	0	154.14	30.35	0	0	f8	f0	8	4	4	2927	1	0
39	2016	240	17	11	13	0	0	154.07	30.54	0	0	f8	f0	8	4	4	2927	1	0
39	2016	240	17	11	14	0	0	153.99	30.73	0	0	f8	f0	8	4	4	2927	1	0
39	2016	240	17	11	15	0	0	153.91	30.93	0	0	f8	f0	8	4	4	2927	1	0
39	2016	240	17	11	16	0	0	153.84	31.12	0	0	f8	f0	8	4	4	2927	1	0
39	2016	240	17	11	17	0	0	153.75	31.32	0	0	f8	f0	8	4	4	2927	1	0
39	2016	240	17	11	18	0	0	153.67	31.51	0	0	f8	f0	8	4	4	2927	1	0
39	2016	240	17	11	19	0	0	153.58	31.71	0	0	f8	f0	8	4	4	2927	1	0
40	2016	240	17	11	20	0	0	153.5	31.9	0	0	f8	f0	8	4	4	2928	1	0
40	2016	240	17	11	21	0	0	153.41	32.11	0	0	f8	f0	8	4	4	2928	1	0
40	2016	240	17	11	22	0	0	153.34	32.32	0	0	f8	f0	8	4	4	2928	1	0
40	2016	240	17	11	23	0	0	153.24	32.53	0	0	f8	f0	8	4	4	2928	1	0
40	2016	240	17	11	24	0	0	153.16	32.74	0	0	f8	f0	8	4	4	2928	1	0
40	2016	240	17	11	25	0	0	153.06	32.95	0	0	f8	f0	8	4	4	2928	1	0
40	2016	240	17	11	26	0	0	152.98	33.16	0	0	f8	f0	8	4	4	2928	1	0
40	2016	240	17	11	27	0	0	152.88	33.37	0	0	f8	f0	8	4	4	2928	1	0
40	2016	240	17	11	28	0	0	152.8	33.58	0	0	f8	f0	8	4	4	2928	1	0
40	2016	240	17	11	29	0	0	152.69	33.78	0	0	f8	f0	8	4	4	2928	1	0
41	2016	240	17	11	30	0	0	152.6	33.99	0	0	f8	f0	8	4	4	2929	1	0
41	2016	240	17	11	31	0	0	152.5	34.21	0	0	f8	f0	8	4	4	2929	1	0
41	2016	240	17	11	32	0	0	152.41	34.43	0	0	f8	f0	8	4	4	2929	1	0
41	2016	240	17	11	33	0	0	152.3	34.65	0	0	f8	f0	8	4	4	2929	1	0
41	2016	240	17	11	34	0	0	152.2	34.87	0	0	f8	f0	8	4	4	2929	1	0
41	2016	240	17	11	35	0	0	152.1	35.1	0	0	f8	f0	8	4	4	2929	1	0
41	2016	240	17	11	36	0	0	151.99	35.33	0	0	f8	f0	8	4	4	2929	1	0
41	2016	240	17	11	37	0	0	151.9	35.56	0	0	f8	f0	8	4	4	2929	1	0
41	2016	240	17	11	38	0	0	151.78	35.8	0	0	f8	f0	8	4	4	2929	1	0
41	2016	240	17	11	39	0	0	151.68	36.02	0	0	f8	f0	8	4	4	2929	1	0
42	2016	240	17	11	40	0	0	151.57	36.25	0	0	f8	f0	8	4	4	292a	1	0
42	2016	240	17	11	41	0	0	151.44	36.48	0	0	f8	f0	8	4	4	292a	1	0
42	2016	240	17	11	42	0	0	151.33	36.71	0	0	f8	f0	8	4	4	292a	1	0
42	2016	240	17	11	43	0	0	151.21	36.93	0	0	f8	f0	8	4	4	292a	1	0
42	2016	240	17	11	44	0	0	151.09	37.16	0	0	f8	f0	8	4	4	292a	1	0
42	2016	240	17	11	45	0	0	150.98	37.41	0	0	f8	f0	8	4	4	292a	1	0
42	2016	240	17	11	46	0	0	150.86	37.65	0	0	f8	f0	8	4	4	292a	1	0
42	2016	240	17	11	47	0	0	150.73	37.89	0	0	f8	f0	8	4	4	292a	1	0
42	2016	240	17	11	48	0	0	150.61	38.14	0	0	f8	f0	8	4	4	292a	1	0
42	2016	240	17	11	49	0	0	150.49	38.39	0	0	f8	f0	8	4	4	292a	1	0
43	2016	240	17	11	50	0	0	150.36	38.64	0	0	f8	f0	8	4	4	292b	1	0
43	2016	240	17	11	51	0	0	150.23	38.88	0	0	f8	f0	8	4	4	292b	1	0
43	2016	240	17	11	52	0	0	150.1	39.12	0	0	f8	f0	8	4	4	292b	1	0
43	2016	240	17	11	53	0	0	149.97	39.37	0	0	f8	f0	8	4	4	292b	1	0
43	2016	240	17	11	54	0	0	149.83	39.61	0	0	f8	f0	8	4	4	292b	1	0
43	2016	240	17	11	55	0	0	149.68	39.87	0	0	f8	f0	8	4	4	292b	1	0
43	2016	240	17	11	56	0	0	149.55	40.12	0	0	f8	f0	8	4	4	292b	1	0
43	2016	240	17	11	57	0	0	149.42	40.39	0	0	f8	f0	8	4	4	292b	1	0
43	2016	240	17	11	58	0	0	149.28	40.64	0	0	f8	f0	8	4	4	292b	1	0
43	2016	240	17	11	59	0	0	149.13	40.9	0	0	f8	f0	8	4	4	292b	1	0
44	2016	240	17	12	0	0	0	148.97	41.16	0	0	f8	f0	8	4	4	292c	1	0
44	2016	240	17	12	1	0	0	148.81	41.42	0	0	f8	f0	8	4	4	292c	1	0
44	2016	240	17	12	2	0	0	148.65	41.69	0	0	f8	f0	8	4	4	292c	1	0
44	2016	240	17	12	3	0	0	148.49	41.96	0	0	f8	f0	8	4	4	292c	1	0
44	2016	240	17	12	4	0	0	148.34	42.23	0	0	f8	f0	8	4	4	292c	1	0
44	2016	240	17	12	5	0	0	148.17	42.5	0	0	f8	f0	8	4	4	292c	1	0
44	2016	240	17	12	6	0	0	148	42.77	0	0	f8	f0	8	4	4	292c	1	0
44	2016	240	17	12	7	0	0	147.85	43.04	0	0	f8	f0	8	4	4	292c	1	0
44	2016	240	17	12	8	0	0	147.67	43.31	0	0	f8	f0	8	4	4	292c	1	0
44	2016	240	17	12	9	0	0	147.5	43.59	0	0	f8	f0	8	4	4	292c	1	0
45	2016	240	17	12	10	0	0	147.32	43.86	0	0	f8	f0	8	4	4	292d	1	0
45	2016	240	17	12	11	0	0	147.14	44.15	0	0	f8	f0	8	4	4	292d	1	0
45	2016	240	17	12	12	0	0	146.97	44.42	0	0	f8	f0	8	4	4	292d	1	0
45	2016	240	17	12	13	0	0	146.77	44.71	0	0	f8	f0	8	4	4	292d	1	0
45	2016	240	17	12	14	0	0	146.58	45.01	0	0	f8	f0	8	4	4	292d	1	0
45	2016	240	17	12	15	0	0	146.38	45.3	0	0	f8	f0	8	4	4	292d	1	0
45	2016	240	17	12	16	0	0	146.19	45.6	0	0	f8	f0	8	4	4	292d	1	0
45	2016	240	17	12	17	0	0	145.98	45.88	0	0	f8	f0	8	4	4	292d	1	0
45	2016	240	17	12	18	0	0	145.78	46.17	0	0	f8	f0	8	4	4	292d	1	0
45	2016	240	17	12	19	0	0	145.58	46.45	0	0	f8	f0	8	4	4	292d	1	0
46	2016	240	17	12	20	0	0	145.37	46.74	0	0	f8	f0	8	4	4	292e	1	0
46	2016	240	17	12	21	0	0	145.14	47.04	0	0	f8	f0	8	4	4	292e	1	0
46	2016	240	17	12	22	0	0	144.91	47.35	0	0	f8	f0	8	4	4	292e	1	0
46	2016	240	17	12	23	0	0	144.7	47.64	0	0	f8	f0	8	4	4	292e	1	0
46	2016	240	17	12	24	0	0	144.47	47.95	0	0	f8	f0	8	4	4	292e	1	0
46	2016	240	17	12	25	0	0	144.24	48.25	0	0	f8	f0	8	4	4	292e	1	0
46	2016	240	17	12	26	0	0	144	48.58	0	0	f8	f0	8	4	4	292e	1	0
46	2016	240	17	12	27	0	0	143.77	48.88	0	0	f8	f0	8	4	4	292e	1	0
46	2016	240	17	12	28	0	0	143.52	49.17	0	0	f8	f0	8	4	4	292e	1	0
46	2016	240	17	12	29	0	0	143.28	49.47	0	0	f8	f0	8	4	4	292e	1	0
47	2016	240	17	12	30	0	0	143.02	49.78	0	0	f8	f0	8	4	4	292f	1	0
47	2016	240	17	12	31	0	0	142.73	50.13	0	0	f8	f0	8	4	4	292f	1	0
47	2016	240	17	12	32	0	0	142.45	50.45	0	0	f8	f0	8	4	4	292f	1	0
47	2016	240	17	12	33	0	0	142.18	50.78	0	0	f8	f0	8	4	4	292f	1	0
47	2016	240	17	12	34	0	0	141.9	51.11	0	0	f8	f0	8	4	4	292f	1	0
47	2016	240	17	12	35	0	0	141.63	51.39	0	0	f8	f0	8	4	4	292f	1	0
47	2016	240	17	12	36	0	0	141.35	51.71	0	0	f8	f0	8	4	4	292f	1	0
47	2016	240	17	12	37	0	0	141.02	52.05	0	0	f8	f0	8	4	4	292f	1	0
47	2016	240	17	12	38	0	0	140.71	52.39	0	0	f8	f0	8	4	4	292f	1	0
47	2016	240	17	12	39	0	0	140.39	52.71	0	0	f8	f0	8	4	4	292f	1	0
48	2016	240	17	12	40	0	0	140.07	53.04	0	0	f8	f0	8	4	4	2930	1	0
48	2016	240	17	12	41	0	0	139.75	53.37	0	0	f8	f0	8	4	4	2930	1	0
48	2016	240	17	12	42	0	0	139.44	53.68	0	0	f8	f0	8	4	4	2930	1	0
48	2016	240	17	12	43	0	0	139.1	54.01	0	0	f8	f0	8	4	4	2930	1	0
48	2016	240	17	12	44	0	0	138.72	54.37	0	0	f8	f0	8	4	4	2930	1	0
48	2016	240	17	12	45	0	0	138.37	54.71	0	0	f8	f0	8	4	4	2930	1	0
48	2016	240	17	12	46	0	0	138	55.04	0	0	f8	f0	8	4	4	2930	1	0
48	2016	240	17	12	47	0	0	137.62	55.38	0	0	f8	f0	8	4	4	2930	1	0
48	2016	240	17	12	48	0	0	137.24	55.72	0	0	f8	f0	8	4	4	2930	1	0
48	2016	240	17	12	49	0	0	136.9	56.02	0	0	f8	f0	8	4	4	2930	1	0
49	2016	240	17	12	50	0	0	136.5	56.35	0	0	f8	f0	8	4	4	2931	1	0
49	2016	240	17	12	51	0	0	136.07	56.73	0	0	f8	f0	8	4	4	2931	1	0
49	2016	240	17	12	52	0	0	135.64	57.06	0	0	f8	f0	8	4	4	2931	1	0
49	2016	240	17	12	53	0	0	135.23	57.4	0	0	f8	f0	8	4	4	2931	1	0
49	2016	240	17	12	54	0	0	134.78	57.74	0	0	f8	f0	8	4	4	2931	1	0
49	2016	240	17	12	55	0	0	134.38	58.04	0	0	f8	f0	8	4	4	2931	1	0
49	2016	240	17	12	56	0	0	133.92	58.39	0	0	f8	f0	8	4	4	2931	1	0
49	2016	240	17	12	57	0	0	133.43	58.73	0	0	f8	f0	8	4	4	2931	1	0
49	2016	240	17	12	58	0	0	132.9	59.1	0	0	f8	f0	8	4	4	2931	1	0
49	2016	240	17	12	59	0	0	132.39	59.44	0	0	f8	f0	8	4	4	2931	1	0
50	2016	240	17	13	0	0	0	131.88	59.79	0	0	f8	f0	8	4	4	2932	1	0
50	2016	240	17	13	1	0	0	131.38	60.11	0	0	f8	f0	8	4	4	2932	1	0
50	2016	240	17	13	2	0	0	130.83	60.46	0	0	f8	f0	8	4	4	2932	1	0
50	2016	240	17	13	3	0	0	130.26	60.8	0	0	f8	f0	8	4	4	2932	1	0
50	2016	240	17	13	4	0	0	129.68	61.14	0	0	f8	f0	8	4	4	2932	1	0
50	2016	240	17	13	5	0	0	129.04	61.52	0	0	f8	f0	8	4	4	2932	1	0
50	2016	240	17	13	6	0	0	128.45	61.84	0	0	f8	f0	8	4	4	2932	1	0
50	2016	240	17	13	7	0	0	127.82	62.17	0	0	f8	f0	8	4	4	2932	1	0
50	2016	240	17	13	8	0	0	127.24	62.47	0	0	f8	f0	8	4	4	2932	1	0
50	2016	240	17	13	9	0	0	126.58	62.81	0	0	f8	f0	8	4	4	2932	1	0
51	2016	240	17	13	10	0	0	125.91	63.14	0	0	f8	f0	8	4	4	2933	1	0
51	2016	240	17	13	11	0	0	125.2	63.47	0	0	f8	f0	8	4	4	2933	1	0
51	2016	240	17	13	12	0	0	124.4	63.83	0	0	f8	f0	8	4	4	2933	1	0
51	2016	240	17	13	13	0	0	123.67	64.14	0	0	f8	f0	8	4	4	2933	1	0
51	2016	240	17	13	14	0	0	122.91	64.47	0	0	f8	f0	8	4	4	2933	1	0
51	2016	240	17	13	15	0	0	122.2	64.75	0	0	f8	f0	8	4	4	2933	1	0
51	2016	240	17	13	16	0	0	121.39	65.07	0	0	f8	f0	8	4	4	2933	1	0
51	2016	240	17	13	17	0	0	120.57	65.39	0	0	f8	f0	8	4	4	2933	1	0
51	2016	240	17	13	18	0	0	119.72	65.69	0	0	f8	f0	8	4	4	2933	1	0
51	2016	240	17	13	19	0	0	118.76	66.04	0	0	f8	f0	8	4	4	2933	1	0
52	2016	240	17	13	20	0	0	117.87	66.34	0	0	f8	f0	8	4	4	2934	1	0
52	2016	240	17	13	21	0	0	117.05	66.61	0	0	f8	f0	8	4	4	2934	1	0
52	2016	240	17	13	22	0	0	116.1	66.91	0	0	f8	f0	8	4	4	2934	1	0
52	2016	240	17	13	23	0	0	115.13	67.2	0	0	f8	f0	8	4	4	2934	1	0
52	2016	240	17	13	24	0	0	114.11	67.49	0	0	f8	f0	8	4	4	2934	1	0
52	2016	240	17	13	25	0	0	113.07	67.77	0	0	f8	f0	8	4	4	2934	1	0
52	2016	240	17	13	26	0	0	111.88	68.08	0	0	f8	f0	8	4	4	2934	1	0
52	2016	240	17	13	27	0	0	110.78	68.35	0	0	f8	f0	8	4	4	2934	1	0
52	2016	240	17	13	28	0	0	109.79	68.58	0	0	f8	f0	8	4	4	2934	1	0
52	2016	240	17	13	29	0	0	108.64	68.85	0	0	f8	f0	8	4	4	2934	1	0
53	2016	240	17	13	30	0	0	107.46	69.1	0	0	f8	f0	8	4	4	2935	1	0
53	2016	240	17	13	31	0	0	106.15	69.35	0	0	f8	f0	8	4	4	2935	1	0
53	2016	240	17	13	32	0	0	105.02	69.57	0	0	f8	f0	8	4	4	2935	1	0
53	2016	240	17	13	33	0	0	103.67	69.81	0	0	f8	f0	8	4	4	2935	1	0
53	2016	240	17	13	34	0	0	102.37	70.03	0	0	f8	f0	8	4	4	2935	1	0
53	2016	240	17	13	35	0	0	101.2	70.21	0	0	f8	f0	8	4	4	2935	1	0
53	2016	240	17	13	36	0	0	99.85	70.41	0	0	f8	f0	8	4	4	2935	1	0
53	2016	240	17	13	37	0	0	98.36	70.61	0	0	f8	f0	8	4	4	2935	1	0
53	2016	240	17	13	38	0	0	96.92	70.78	0	0	f8	f0	8	4	4	2935	1	0
53	2016	240	17	13	39	0	0	95.5	70.94	0	0	f8	f0	8	4	4	2935	1	0
54	2016	240	17	13	40	0	0	94.02	71.09	0	0	f8	f0	8	4	4	2936	1	0
54	2016	240	17	13	41	0	0	92.68	71.21	0	0	f8	f0	8	4	4	2936	1	0
54	2016	240	17	13	42	0	0	91.16	71.35	0	0	f8	f0	8	4	4	2936	1	0
54	2016	240	17	13	43	0	0	89.62	71.47	0	0	f8	f0	8	4	4	2936	1	0
54	2016	240	17	13	44	0	0	87.93	71.58	0	0	f8	f0	8	4	4	2936	1	0
54	2016	240	17	13	45	0	0	86.35	71.67	0	0	f8	f0	8	4	4	2936	1	0
54	2016	240	17	13	46	0	0	84.77	71.75	0	0	f8	f0	8	4	4	2936	1	0
54	2016	240	17	13	47	0	0	83.15	71.82	0	0	f8	f0	8	4	4	2936	1	0
54	2016	240	17	13	48	0	0	81.71	71.87	0	0	f8	f0	8	4	4	2936	1	0
54	2016	240	17	13	49	0	0	80.07	71.9	0	0	f8	f0	8	4	4	2936	1	0
55	2016	240	17	13	50	0	0	78.48	71.93	0	0	f8	f0	8	4	4	2937	1	0
55	2016	240	17	13	51	0	0	76.71	71.94	0	0	f8	f0	8	4	4	2937	1	0
55	2016	240	17	13	52	0	0	75.08	71.94	0	0	f8	f0	8	4	4	2937	1	0
55	2016	240	17	13	53	0	0	73.52	71.94	0	0	f8	f0	8	4	4	2937	1	0
55	2016	240	17	13	54	0	0	72.06	71.91	0	0	f8	f0	8	4	4	2937	1	0
55	2016	240	17	13	55	0	0	70.48	71.84	0	0	f8	f0	8	4	4	2937	1	0
55	2016	240	17	13	56	0	0	68.87	71.82	0	0	f8	f0	8	4	4	2937	1	0
55	2016	240	17	13	57	0	0	67.28	71.78	0	0	f8	f0	8	4	4	2937	1	0
55	2016	240	17	13	58	0	0	65.62	71.7	0	0	f8	f0	8	4	4	2937	1	0
55	2016	240	17	13	59	0	0	64.07	71.62	0	0	f8	f0	8	4	4	2937	1	0
56	2016	240	17	14	0	0	0	62.69	71.53	0	0	f8	f0	8	4	4	2938	1	0
56	2016	240	17	14	1	0	0	61.18	71.41	0	0	f8	f0	8	4	4	2938	1	0
56	2016	240	17	14	2	0	0	59.68	71.28	0	0	f8	f0	8	4	4	2938	1	0
56	2016	240	17	14	3	0	0	58.22	71.13	0	0	f8	f0	8	4	4	2938	1	0
56	2016	240	17	14	4	0	0	56.76	70.96	0	0	f8	f0	8	4	4	2938	1	0
56	2016	240	17	14	5	0	0	55.2	70.76	0	0	f8	f0	8	4	4	2938	1	0
56	2016	240	17	14	6	0	0	53.78	70.57	0	0	f8	f0	8	4	4	2938	1	0
56	2016	240	17	14	7	0	0	52.57	70.38	0	0	f8	f0	8	4	4	2938	1	0
56	2016	240	17	14	8	0	0	51.22	70.17	0	0	f8	f0	8	4	4	2938	1	0
56	2016	240	17	14	9	0	0	49.92	69.96	0	0	f8	f0	8	4	4	2938	1	0
57	2016	240	17	14	10	0	0	48.61	69.72	0	0	f8	f0	8	4	4	2939	1	0
57	2016	240	17	14	11	0	0	47.38	69.49	0	0	f8	f0	8	4	4	2939	1	0
57	2016	240	17	14	12	0	0	46.08	69.23	0	0	f8	f0	8	4	4	2939	1	0
57	2016	240	17	14	13	0	0	44.9	68.97	0	0	f8	f0	8	4	4	2939	1	0
57	2016	240	17	14	14	0	0	43.89	68.75	0	0	f8	f0	8	4	4	2939	1	0
57	2016	240	17	14	15	0	0	42.78	68.48	0	0	f8	f0	8	4	4	2939	1	0
57	2016	240	17	14	16	0	0	41.7	68.22	0	0	f8	f0	8	4	4	2939	1	0
57	2016	240	17	14	17	0	0	40.64	67.94	0	0	f8	f0	8	4	4	2939	1	0
57	2016	240	17	14	18	0	0	39.6	67.66	0	0	f8	f0	8	4	4	2939	1	0
57	2016	240	17	14	19	0	0	38.51	67.34	0	0	f8	f0	8	4	4	2939	1	0
58	2016	240	17	14	20	0	0	37.5	67.05	0	0	f8	f0	8	4	4	293a	1	0
58	2016	240	17	14	21	0	0	36.64	66.79	0	0	f8	f0	8	4	4	293a	1	0
58	2016	240	17	14	22	0	0	35.72	66.49	0	0	f8	f0	8	4	4	293a	1	0
