BkNo	Year	Day	hh	mm	ss	mss	ns	Range (km)	RangCalib(km)	Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
7	2016	240	17	8	46	751	0	2315.883847	0	0	0	f8	f0	8	4	1	7	1	1
7	2016	240	17	8	47	751	0	2309.381949	0	0	0	f8	f0	8	4	1	7	1	1
7	2016	240	17	8	48	751	0	2302.883048	0	0	0	f8	f0	8	4	1	7	1	1
7	2016	240	17	8	49	751	0	2296.385945	0	0	0	f8	f0	8	4	1	7	1	1
8	2016	240	17	8	50	751	0	2289.891392	0	0	0	f8	f0	8	4	1	8	1	1
8	2016	240	17	8	51	751	0	2283.399836	0	0	0	f8	f0	8	4	1	8	1	1
8	2016	240	17	8	52	751	0	2276.910978	0	0	0	f8	f0	8	4	1	8	1	1
8	2016	240	17	8	53	751	0	2270.423769	0	0	0	f8	f0	8	4	1	8	1	1
8	2016	240	17	8	54	751	0	2263.939108	0	0	0	f8	f0	8	4	1	8	1	1
8	2016	240	17	8	55	751	0	2257.456546	0	0	0	f8	f0	8	4	1	8	1	1
8	2016	240	17	8	56	751	0	2250.978181	0	0	0	f8	f0	8	4	1	8	1	1
8	2016	240	17	8	57	751	0	2244.501614	0	0	0	f8	f0	8	4	1	8	1	1
8	2016	240	17	8	58	751	0	2238.027746	0	0	0	f8	f0	8	4	1	8	1	1
8	2016	240	17	8	59	751	0	2231.556726	0	0	0	f8	f0	8	4	1	8	1	1
9	2016	240	17	9	0	751	0	2225.088104	0	0	0	f8	f0	8	4	1	9	1	1
9	2016	240	17	9	1	751	0	2218.62203	0	0	0	f8	f0	8	4	1	9	1	1
9	2016	240	17	9	2	751	0	2212.158355	0	0	0	f8	f0	8	4	1	9	1	1
9	2016	240	17	9	3	751	0	2205.698577	0	0	0	f8	f0	8	4	1	9	1	1
9	2016	240	17	9	4	751	0	2199.241647	0	0	0	f8	f0	8	4	1	9	1	1
9	2016	240	17	9	5	751	0	2192.787265	0	0	0	f8	f0	8	4	1	9	1	1
9	2016	240	17	9	6	751	0	2186.335432	0	0	0	f8	f0	8	4	1	9	1	1
9	2016	240	17	9	7	751	0	2179.886746	0	0	0	f8	f0	8	4	1	9	1	1
9	2016	240	17	9	8	751	0	2173.440759	0	0	0	f8	f0	8	4	1	9	1	1
9	2016	240	17	9	9	751	0	2166.998069	0	0	0	f8	f0	8	4	1	9	1	1
10	2016	240	17	9	10	751	0	2160.558677	0	0	0	f8	f0	8	4	1	000a	1	1
10	2016	240	17	9	11	751	0	2154.121683	0	0	0	f8	f0	8	4	1	000a	1	1
10	2016	240	17	9	12	751	0	2147.688886	0	0	0	f8	f0	8	4	1	000a	1	1
10	2016	240	17	9	13	751	0	2141.258788	0	0	0	f8	f0	8	4	1	000a	1	1
10	2016	240	17	9	14	751	0	2134.831387	0	0	0	f8	f0	8	4	1	000a	1	1
10	2016	240	17	9	15	751	0	2128.407734	0	0	0	f8	f0	8	4	1	000a	1	1
10	2016	240	17	9	16	751	0	2121.987229	0	0	0	f8	f0	8	4	1	000a	1	1
10	2016	240	17	9	17	751	0	2115.569872	0	0	0	f8	f0	8	4	1	000a	1	1
10	2016	240	17	9	18	751	0	2109.155812	0	0	0	f8	f0	8	4	1	000a	1	1
10	2016	240	17	9	19	751	0	2102.746399	0	0	0	f8	f0	8	4	1	000a	1	1
11	2016	240	17	9	20	751	0	2096.338635	0	0	0	f8	f0	8	4	1	000b	1	1
11	2016	240	17	9	21	751	0	2089.934619	0	0	0	f8	f0	8	4	1	000b	1	1
11	2016	240	17	9	22	751	0	2083.5339	0	0	0	f8	f0	8	4	1	000b	1	1
11	2016	240	17	9	23	751	0	2077.137528	0	0	0	f8	f0	8	4	1	000b	1	1
11	2016	240	17	9	24	751	0	2070.744304	0	0	0	f8	f0	8	4	1	000b	1	1
11	2016	240	17	9	25	751	0	2064.354977	0	0	0	f8	f0	8	4	1	000b	1	1
11	2016	240	17	9	26	751	0	2057.969698	0	0	0	f8	f0	8	4	1	000b	1	1
11	2016	240	17	9	27	751	0	2051.588016	0	0	0	f8	f0	8	4	1	000b	1	1
11	2016	240	17	9	28	751	0	2045.209331	0	0	0	f8	f0	8	4	1	000b	1	1
11	2016	240	17	9	29	751	0	2038.834095	0	0	0	f8	f0	8	4	1	000b	1	1
12	2016	240	17	9	30	751	0	2032.463055	0	0	0	f8	f0	8	4	1	000c	1	1
12	2016	240	17	9	31	751	0	2026.096213	0	0	0	f8	f0	8	4	1	000c	1	1
12	2016	240	17	9	32	751	0	2019.732968	0	0	0	f8	f0	8	4	1	000c	1	1
12	2016	240	17	9	33	751	0	2013.373771	0	0	0	f8	f0	8	4	1	000c	1	1
12	2016	240	17	9	34	751	0	2007.01877	0	0	0	f8	f0	8	4	1	000c	1	1
12	2016	240	17	9	35	751	0	2000.667517	0	0	0	f8	f0	8	4	1	000c	1	1
12	2016	240	17	9	36	751	0	1994.32151	0	0	0	f8	f0	8	4	1	000c	1	1
12	2016	240	17	9	37	751	0	1987.978352	0	0	0	f8	f0	8	4	1	000c	1	1
12	2016	240	17	9	38	751	0	1981.63909	0	0	0	f8	f0	8	4	1	000c	1	1
12	2016	240	17	9	39	751	0	1975.304775	0	0	0	f8	f0	8	4	1	000c	1	1
13	2016	240	17	9	40	751	0	1968.974508	0	0	0	f8	f0	8	4	1	000d	1	1
13	2016	240	17	9	41	751	0	1962.649037	0	0	0	f8	f0	8	4	1	000d	1	1
13	2016	240	17	9	42	751	0	1956.327163	0	0	0	f8	f0	8	4	1	000d	1	1
