Year,Day,hh,mm,ss,mss,ns,RangeRate(km/s)
2016,240,17,7,53,700,0,-6.59437565
2016,240,17,7,54,700,0,-6.59312964
2016,240,17,7,55,700,0,-6.59190454
2016,240,17,7,56,700,0,-6.5906466
2016,240,17,7,57,700,0,-6.58937513
2016,240,17,7,58,700,0,-6.58807609
2016,240,17,7,59,700,0,-6.58675366
2016,240,17,8,0,700,0,-6.58544103
2016,240,17,8,1,700,0,-6.58411701
2016,240,17,8,2,700,0,-6.58273835
2016,240,17,8,3,700,0,-6.58135551
2016,240,17,8,4,700,0,-6.5799576
2016,240,17,8,5,700,0,-6.57854251
2016,240,17,8,6,700,0,-6.57709198
2016,240,17,8,7,700,0,-6.57564724
2016,240,17,8,8,700,0,-6.57420557
2016,240,17,8,9,700,0,-6.57268742
2016,240,17,8,10,700,0,-6.57118539
2016,240,17,8,11,700,0,-6.56965632
2016,240,17,8,12,700,0,-6.56810906
2016,240,17,8,13,700,0,-6.56655707
2016,240,17,8,14,700,0,-6.56497849
2016,240,17,8,15,700,0,-6.56336775
2016,240,17,8,16,700,0,-6.56175747
2016,240,17,8,17,700,0,-6.56007897
2016,240,17,8,18,700,0,-6.55842552
2016,240,17,8,19,700,0,-6.55675382
2016,240,17,8,20,700,0,-6.55502908
2016,240,17,8,21,700,0,-6.55330635
2016,240,17,8,22,700,0,-6.55154831
2016,240,17,8,23,700,0,-6.54978348
2016,240,17,8,24,700,0,-6.54797748
2016,240,17,8,25,700,0,-6.54617827
2016,240,17,8,26,700,0,-6.54434994
2016,240,17,8,27,700,0,-6.54248205
2016,240,17,8,28,700,0,-6.54058765
2016,240,17,8,29,700,0,-6.53867805
2016,240,17,8,30,700,0,-6.53677166
2016,240,17,8,31,700,0,-6.53482469
2016,240,17,8,32,700,0,-6.53284594
2016,240,17,8,33,700,0,-6.53083802
2016,240,17,8,34,700,0,-6.52882437
2016,240,17,8,35,700,0,-6.52677694
2016,240,17,8,36,700,0,-6.52470194
2016,240,17,8,37,700,0,-6.52261021
2016,240,17,8,38,700,0,-6.52049976
2016,240,17,8,39,700,0,-6.51834095
2016,240,17,8,40,700,0,-6.51618474
2016,240,17,8,41,700,0,-6.51398742
2016,240,17,8,42,700,0,-6.51176039
2016,240,17,8,43,700,0,-6.50951411
2016,240,17,8,44,700,0,-6.50725118
2016,240,17,8,45,700,0,-6.50494767
2016,240,17,8,46,700,0,-6.50262392
2016,240,17,8,47,700,0,-6.50025846
2016,240,17,8,48,700,0,-6.4978878
2016,240,17,8,49,700,0,-6.49548277
2016,240,17,8,50,700,0,-6.49303617
2016,240,17,8,51,700,0,-6.4905869
2016,240,17,8,52,700,0,-6.48808561
2016,240,17,8,53,700,0,-6.48554528
2016,240,17,8,54,700,0,-6.48301854
2016,240,17,8,55,700,0,-6.48042358
2016,240,17,8,56,700,0,-6.47782389
2016,240,17,8,57,700,0,-6.47518363
2016,240,17,8,58,700,0,-6.472507
2016,240,17,8,59,700,0,-6.4697928
2016,240,17,9,0,700,0,-6.46708699
2016,240,17,9,1,700,0,-6.46431043
2016,240,17,9,2,700,0,-6.46151815
2016,240,17,9,3,700,0,-6.4586833
2016,240,17,9,4,700,0,-6.4558328
2016,240,17,9,5,700,0,-6.45295571
2016,240,17,9,6,700,0,-6.45002094
2016,240,17,9,7,700,0,-6.44706005
2016,240,17,9,8,700,0,-6.4440867
2016,240,17,9,9,700,0,-6.4410468
2016,240,17,9,10,700,0,-6.43798239
2016,240,17,9,11,700,0,-6.43489972
2016,240,17,9,12,700,0,-6.43175364
2016,240,17,9,13,700,0,-6.42859289
2016,240,17,9,14,700,0,-6.42538379
2016,240,17,9,15,700,0,-6.42216169
2016,240,17,9,16,700,0,-6.4188813
2016,240,17,9,17,700,0,-6.41555768
2016,240,17,9,18,700,0,-6.41222473
2016,240,17,9,19,700,0,-6.40882623
2016,240,17,9,20,700,0,-6.40539954
2016,240,17,9,21,700,0,-6.40192397
2016,240,17,9,22,700,0,-6.39844785
2016,240,17,9,23,700,0,-6.39487448
2016,240,17,9,24,700,0,-6.39130577
2016,240,17,9,25,700,0,-6.38768237
2016,240,17,9,26,700,0,-6.38402672
2016,240,17,9,27,700,0,-6.38031072
2016,240,17,9,28,700,0,-6.37656241
2016,240,17,9,29,700,0,-6.37274907
2016,240,17,9,30,700,0,-6.36893834
2016,240,17,9,31,700,0,-6.36505313
2016,240,17,9,32,700,0,-6.36112635
2016,240,17,9,33,700,0,-6.35714441
2016,240,17,9,34,700,0,-6.3531546
2016,240,17,9,35,700,0,-6.34909719
2016,240,17,9,36,700,0,-6.34498667
2016,240,17,9,37,700,0,-6.34081993
2016,240,17,9,38,700,0,-6.33663234
2016,240,17,9,39,700,0,-6.33238393
2016,240,17,9,40,700,0,-6.32809954
2016,240,17,9,41,700,0,-6.32376006
2016,240,17,9,42,700,0,-6.3193555
2016,240,17,9,43,700,0,-6.31490977
2016,240,17,9,44,700,0,-6.31043545
2016,240,17,9,45,700,0,-6.30586228
2016,240,17,9,46,700,0,-6.30128177
2016,240,17,9,47,700,0,-6.29663625
2016,240,17,9,48,700,0,-6.29192977
2016,240,17,9,49,700,0,-6.28718433
2016,240,17,9,50,700,0,-6.28237066
2016,240,17,9,51,700,0,-6.27749977
2016,240,17,9,52,700,0,-6.27258151
2016,240,17,9,53,700,0,-6.26760337
2016,240,17,9,54,700,0,-6.26258725
2016,240,17,9,55,700,0,-6.25748426
2016,240,17,9,56,700,0,-6.25233751
2016,240,17,9,57,700,0,-6.24710748
2016,240,17,9,58,700,0,-6.24186393
2016,240,17,9,59,700,0,-6.23654077
2016,240,17,10,0,700,0,-6.23114007
2016,240,17,10,1,700,0,-6.22567528
2016,240,17,10,2,700,0,-6.22016212
2016,240,17,10,3,700,0,-6.21459907
2016,240,17,10,4,700,0,-6.20893496
2016,240,17,10,5,700,0,-6.20323135
2016,240,17,10,6,700,0,-6.19746478
2016,240,17,10,7,700,0,-6.19162839
2016,240,17,10,8,700,0,-6.18570933
2016,240,17,10,9,700,0,-6.17973192
2016,240,17,10,10,700,0,-6.17368375
2016,240,17,10,11,700,0,-6.16754399
2016,240,17,10,12,700,0,-6.16137092
2016,240,17,10,13,700,0,-6.15512184
2016,240,17,10,14,700,0,-6.14877336
2016,240,17,10,15,700,0,-6.14237652
2016,240,17,10,16,700,0,-6.13589587
2016,240,17,10,17,700,0,-6.12932568
2016,240,17,10,18,700,0,-6.12269248
2016,240,17,10,19,700,0,-6.11597088
2016,240,17,10,20,700,0,-6.10918678
2016,240,17,10,21,700,0,-6.10233141
2016,240,17,10,22,700,0,-6.09537397
2016,240,17,10,23,700,0,-6.08832394
2016,240,17,10,24,700,0,-6.08120782
2016,240,17,10,25,700,0,-6.07399225
2016,240,17,10,26,700,0,-6.06672257
2016,240,17,10,27,700,0,-6.05935977
2016,240,17,10,28,700,0,-6.05188398
2016,240,17,10,29,700,0,-6.04432598
2016,240,17,10,30,700,0,-6.03669977
2016,240,17,10,31,700,0,-6.02898149
2016,240,17,10,32,700,0,-6.02115389
2016,240,17,10,33,700,0,-6.0132165
2016,240,17,10,34,700,0,-6.00521663
2016,240,17,10,35,700,0,-5.99712302
2016,240,17,10,36,700,0,-5.9889181
2016,240,17,10,37,700,0,-5.98061118
2016,240,17,10,38,700,0,-5.97222719
2016,240,17,10,39,700,0,-5.96373294
2016,240,17,10,40,700,0,-5.95511738
2016,240,17,10,41,700,0,-5.94642421
2016,240,17,10,42,700,0,-5.9376052
2016,240,17,10,43,700,0,-5.92868459
2016,240,17,10,44,700,0,-5.91966413
2016,240,17,10,45,700,0,-5.91052235
2016,240,17,10,46,700,0,-5.90128225
2016,240,17,10,47,700,0,-5.89193755
2016,240,17,10,48,700,0,-5.88245023
2016,240,17,10,49,700,0,-5.87287283
