BkNo	Year	Day	hh	mm	ss	mss	ns	RangeRate(km/s)		Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
9	2016	240	17	6	0	300	0	-2.71564358	0	0	0	f8	f0	8	4	3	9	1	1
9	2016	240	17	6	1	300	0	-2.71534353	0	0	0	f8	f0	8	4	3	9	1	1
9	2016	240	17	6	2	300	0	-2.7157102	0	0	0	f8	f0	8	4	3	9	1	1
9	2016	240	17	6	3	300	0	-2.7158479	0	0	0	f8	f0	8	4	3	9	1	1
9	2016	240	17	6	4	300	0	-2.71591785	0	0	0	f8	f0	8	4	3	9	1	1
9	2016	240	17	6	5	300	0	-2.71549396	0	0	0	f8	f0	8	4	3	9	1	1
9	2016	240	17	6	6	300	0	-2.71564905	0	0	0	f8	f0	8	4	3	9	1	1
9	2016	240	17	6	7	300	0	-2.7156202	0	0	0	f8	f0	8	4	3	9	1	1
10	2016	240	17	6	8	300	0	-2.71563139	0	0	0	f8	f0	8	4	3	000a	1	1
10	2016	240	17	6	9	300	0	-2.71531495	0	0	0	f8	f0	8	4	3	000a	1	1
10	2016	240	17	6	10	300	0	-2.71535186	0	0	0	f8	f0	8	4	3	000a	1	1
10	2016	240	17	6	11	300	0	-2.71519337	0	0	0	f8	f0	8	4	3	000a	1	1
10	2016	240	17	6	12	300	0	-2.71608207	0	0	0	f8	f0	8	4	3	000a	1	1
10	2016	240	17	6	13	300	0	-2.71578748	0	0	0	f8	f0	8	4	3	000a	1	1
10	2016	240	17	6	14	300	0	-2.7154276	0	0	0	f8	f0	8	4	3	000a	1	1
10	2016	240	17	6	15	300	0	-2.71530476	0	0	0	f8	f0	8	4	3	000a	1	1
10	2016	240	17	6	16	300	0	-2.71565164	0	0	0	f8	f0	8	4	3	000a	1	1
10	2016	240	17	6	17	300	0	-2.71569515	0	0	0	f8	f0	8	4	3	000a	1	1
11	2016	240	17	6	18	300	0	-2.71516812	0	0	0	f8	f0	8	4	3	000b	1	1
11	2016	240	17	6	19	300	0	-2.7151965	0	0	0	f8	f0	8	4	3	000b	1	1
11	2016	240	17	6	20	300	0	-2.71510103	0	0	0	f8	f0	8	4	3	000b	1	1
11	2016	240	17	6	21	300	0	-2.71530089	0	0	0	f8	f0	8	4	3	000b	1	1
11	2016	240	17	6	22	300	0	-2.7153873	0	0	0	f8	f0	8	4	3	000b	1	1
11	2016	240	17	6	23	300	0	-2.71562666	0	0	0	f8	f0	8	4	3	000b	1	1
11	2016	240	17	6	24	300	0	-2.71555771	0	0	0	f8	f0	8	4	3	000b	1	1
11	2016	240	17	6	25	300	0	-2.71525166	0	0	0	f8	f0	8	4	3	000b	1	1
