BkNo,Year,Day,hh,mm,ss,mss,RANGE,Azimuth,Elev,range rate,Az rate,El rate
2016,2016,240,17,8,50,751,2289.891392,160.09,11.64,-6.49303617,0,0.1
2016,2016,240,17,8,51,751,2283.399836,160.09,11.74,-6.4905869,-0.04,0.08
2016,2016,240,17,8,52,751,2276.910978,160.05,11.82,-6.48808561,-0.03,0.09
2016,2016,240,17,8,53,751,2270.423769,160.02,11.91,-6.48554528,-0.02,0.11
2016,2016,240,17,8,54,751,2263.939108,160,12.02,-6.48301854,-0.01,0.09
2016,2016,240,17,8,55,751,2257.456546,159.99,12.11,-6.48042358,-0.04,0.09
2016,2016,240,17,8,56,751,2250.978181,159.95,12.2,-6.47782389,-0.01,0.1
2016,2016,240,17,8,57,751,2244.501614,159.94,12.3,-6.47518363,-0.01,0.1
2016,2016,240,17,8,58,751,2238.027746,159.93,12.4,-6.472507,-0.05,0.09
2016,2016,240,17,8,59,751,2231.556726,159.88,12.49,-6.4697928,-0.02,0.09
2016,2016,240,17,9,0,751,2225.088104,159.86,12.58,-6.46708699,-0.03,0.1
2016,2016,240,17,9,1,751,2218.62203,159.83,12.68,-6.46431043,-0.02,0.09
2016,2016,240,17,9,2,751,2212.158355,159.81,12.77,-6.46151815,-0.01,0.1
2016,2016,240,17,9,3,751,2205.698577,159.8,12.87,-6.4586833,-0.04,0.1
2016,2016,240,17,9,4,751,2199.241647,159.76,12.97,-6.4558328,-0.03,0.09
2016,2016,240,17,9,5,751,2192.787265,159.73,13.06,-6.45295571,-0.01,0.11
2016,2016,240,17,9,6,751,2186.335432,159.72,13.17,-6.45002094,-0.04,0.09
2016,2016,240,17,9,7,751,2179.886746,159.68,13.26,-6.44706005,-0.03,0.1
2016,2016,240,17,9,8,751,2173.440759,159.65,13.36,-6.4440867,-0.01,0.1
2016,2016,240,17,9,9,751,2166.998069,159.64,13.46,-6.4410468,-0.04,0.1
2016,2016,240,17,9,10,751,2160.558677,159.6,13.56,-6.43798239,-0.01,0.1
2016,2016,240,17,9,11,751,2154.121683,159.59,13.66,-6.43489972,-0.03,0.1
2016,2016,240,17,9,12,751,2147.688886,159.56,13.76,-6.43175364,-0.05,0.1
2016,2016,240,17,9,13,751,2141.258788,159.51,13.86,-6.42859289,-0.01,0.1
2016,2016,240,17,9,14,751,2134.831387,159.5,13.96,-6.42538379,-0.04,0.1
2016,2016,240,17,9,15,751,2128.407734,159.46,14.06,-6.42216169,-0.01,0.1
2016,2016,240,17,9,16,751,2121.987229,159.45,14.16,-6.4188813,-0.03,0.11
2016,2016,240,17,9,17,751,2115.569872,159.42,14.27,-6.41555768,-0.03,0.1
2016,2016,240,17,9,18,751,2109.155812,159.39,14.37,-6.41222473,-0.02,0.1
2016,2016,240,17,9,19,751,2102.746399,159.37,14.47,-6.40882623,-0.05,0.12
2016,2016,240,17,9,20,751,2096.338635,159.32,14.59,-6.40539954,-0.02,0.11
2016,2016,240,17,9,21,751,2089.934619,159.3,14.7,-6.40192397,-0.02,0.1
2016,2016,240,17,9,22,751,2083.5339,159.28,14.8,-6.39844785,-0.03,0.11
2016,2016,240,17,9,23,751,2077.137528,159.25,14.91,-6.39487448,-0.01,0.11
2016,2016,240,17,9,24,751,2070.744304,159.24,15.02,-6.39130577,-0.06,0.11
2016,2016,240,17,9,25,751,2064.354977,159.18,15.13,-6.38768237,-0.02,0.11
2016,2016,240,17,9,26,751,2057.969698,159.16,15.24,-6.38402672,-0.04,0.11
2016,2016,240,17,9,27,751,2051.588016,159.12,15.35,-6.38031072,-0.02,0.11
2016,2016,240,17,9,28,751,2045.209331,159.1,15.46,-6.37656241,-0.04,0.1
2016,2016,240,17,9,29,751,2038.834095,159.06,15.56,-6.37274907,-0.02,0.11
2016,2016,240,17,9,30,751,2032.463055,159.04,15.67,-6.36893834,-0.03,0.1
2016,2016,240,17,9,31,751,2026.096213,159.01,15.77,-6.36505313,-0.04,0.11
2016,2016,240,17,9,32,751,2019.732968,158.97,15.88,-6.36112635,-0.02,0.11
2016,2016,240,17,9,33,751,2013.373771,158.95,15.99,-6.35714441,-0.03,0.11
2016,2016,240,17,9,34,751,2007.01877,158.92,16.1,-6.3531546,-0.03,0.11
2016,2016,240,17,9,35,751,2000.667517,158.89,16.21,-6.34909719,-0.03,0.12
2016,2016,240,17,9,36,751,1994.32151,158.86,16.33,-6.34498667,-0.03,0.11
2016,2016,240,17,9,37,751,1987.978352,158.83,16.44,-6.34081993,-0.04,0.1
2016,2016,240,17,9,38,751,1981.63909,158.79,16.54,-6.33663234,-0.04,0.11
2016,2016,240,17,9,39,751,1975.304775,158.75,16.65,-6.33238393,-0.02,0.11
2016,2016,240,17,9,40,751,1968.974508,158.73,16.76,-6.32809954,-0.02,0.11
2016,2016,240,17,9,41,751,1962.649037,158.71,16.87,-6.32376006,-0.03,0.12
2016,2016,240,17,9,42,751,1956.327163,158.68,16.99,-6.3193555,-0.04,0.11
2016,2016,240,17,9,43,751,1950.010236,158.64,17.1,-6.31490977,-0.03,0.13
2016,2016,240,17,9,44,751,1943.697057,158.61,17.23,-6.31043545,-0.04,0.13
2016,2016,240,17,9,45,751,1937.389573,158.57,17.36,-6.30586228,-0.02,0.11
2016,2016,240,17,9,46,751,1931.086137,158.55,17.47,-6.30128177,-0.04,0.12
2016,2016,240,17,9,47,751,1924.787048,158.51,17.59,-6.29663625,-0.03,0.12
2016,2016,240,17,9,48,751,1918.491706,158.48,17.71,-6.29192977,-0.04,0.12
2016,2016,240,17,9,49,751,1912.20236,158.44,17.83,-6.28718433,-0.03,0.12
2016,2016,240,17,9,50,751,1905.918261,158.41,17.95,-6.28237066,-0.04,0.12
2016,2016,240,17,9,51,751,1899.638958,158.37,18.07,-6.27749977,-0.01,0.12
2016,2016,240,17,9,52,751,1893.363402,158.36,18.19,-6.27258151,-0.06,0.12
2016,2016,240,17,9,53,751,1887.093093,158.3,18.31,-6.26760337,-0.03,0.13
2016,2016,240,17,9,54,751,1880.82788,158.27,18.44,-6.26258725,-0.05,0.11
2016,2016,240,17,9,55,751,1874.567614,158.22,18.55,-6.25748426,-0.03,0.12
2016,2016,240,17,9,56,751,1868.313644,158.19,18.67,-6.25233751,-0.02,0.11
2016,2016,240,17,9,57,751,1862.063571,158.17,18.78,-6.24710748,-0.05,0.12
2016,2016,240,17,9,58,751,1855.819044,158.12,18.9,-6.24186393,-0.05,0.12
2016,2016,240,17,9,59,751,1849.580063,158.07,19.02,-6.23654077,-0.04,0.13
2016,2016,240,17,10,0,751,1843.346178,158.03,19.15,-6.23114007,-0.01,0.13
2016,2016,240,17,10,1,751,1837.11784,158.02,19.28,-6.22567528,-0.05,0.12
2016,2016,240,17,10,2,751,1830.895048,157.97,19.4,-6.22016212,-0.04,0.14
