BkNo,Year,Day,hh,mm,ss,mss,ns,Azimuth(deg),Elevation(deg)Tv,DvTSnRSnDTpSTpSId,BkCtSRtInTim,,,,,,,,
29,2016,252,12,25,27,0,0,144.75,21.86,0,3,f9,f0,18,4,4,0e1d,1,0
29,2016,252,12,25,28,0,0,144.6,22.03,0,3,f9,f0,18,4,4,0e1d,1,0
29,2016,252,12,25,29,0,0,144.45,22.2,0,3,f9,f0,18,4,4,0e1d,1,0
29,2016,252,12,25,30,0,0,144.3,22.37,0,3,f9,f0,18,4,4,0e1d,1,0
29,2016,252,12,25,31,0,0,144.13,22.55,0,3,f9,f0,18,4,4,0e1d,1,0
29,2016,252,12,25,32,0,0,143.96,22.74,0,3,f9,f0,18,4,4,0e1d,1,0
30,2016,252,12,25,33,0,0,143.78,22.92,0,3,f9,f0,18,4,4,0e1e,1,0
30,2016,252,12,25,34,0,0,143.61,23.11,0,3,f9,f0,18,4,4,0e1e,1,0
30,2016,252,12,25,35,0,0,143.45,23.29,0,3,f9,f0,18,4,4,0e1e,1,0
30,2016,252,12,25,36,0,0,143.28,23.47,0,3,f9,f0,18,4,4,0e1e,1,0
30,2016,252,12,25,37,0,0,143.1,23.66,0,3,f9,f0,18,4,4,0e1e,1,0
30,2016,252,12,25,38,0,0,142.93,23.85,0,3,f9,f0,18,4,4,0e1e,1,0
30,2016,252,12,25,39,0,0,142.76,24.03,0,3,f9,f0,18,4,4,0e1e,1,0
30,2016,252,12,25,40,0,0,142.6,24.21,0,3,f9,f0,18,4,4,0e1e,1,0
30,2016,252,12,25,41,0,0,142.4,24.41,0,3,f9,f0,18,4,4,0e1e,1,0
30,2016,252,12,25,42,0,0,142.21,24.61,0,3,f9,f0,18,4,4,0e1e,1,0
31,2016,252,12,25,43,0,0,142.01,24.8,0,3,f9,f0,18,4,4,0e1f,1,0
31,2016,252,12,25,44,0,0,141.82,25,0,3,f9,f0,18,4,4,0e1f,1,0
31,2016,252,12,25,45,0,0,141.63,25.2,0,3,f9,f0,18,4,4,0e1f,1,0
31,2016,252,12,25,46,0,0,141.43,25.4,0,3,f9,f0,18,4,4,0e1f,1,0
31,2016,252,12,25,47,0,0,141.23,25.59,0,3,f9,f0,18,4,4,0e1f,1,0
31,2016,252,12,25,48,0,0,141.03,25.8,0,3,f9,f0,18,4,4,0e1f,1,0
31,2016,252,12,25,49,0,0,140.84,26,0,3,f9,f0,18,4,4,0e1f,1,0
31,2016,252,12,25,50,0,0,140.65,26.19,0,3,f9,f0,18,4,4,0e1f,1,0
31,2016,252,12,25,51,0,0,140.43,26.4,0,3,f9,f0,18,4,4,0e1f,1,0
31,2016,252,12,25,52,0,0,140.2,26.61,0,3,f9,f0,18,4,4,0e1f,1,0
32,2016,252,12,25,53,0,0,139.97,26.83,0,3,f9,f0,18,4,4,0,1,0
32,2016,252,12,25,54,0,0,139.75,27.04,0,3,f9,f0,18,4,4,0,1,0
32,2016,252,12,25,55,0,0,139.53,27.26,0,3,f9,f0,18,4,4,0,1,0
32,2016,252,12,25,56,0,0,139.3,27.47,0,3,f9,f0,18,4,4,0,1,0
32,2016,252,12,25,57,0,0,139.07,27.69,0,3,f9,f0,18,4,4,0,1,0
32,2016,252,12,25,58,0,0,138.85,27.9,0,3,f9,f0,18,4,4,0,1,0
32,2016,252,12,25,59,0,0,138.63,28.11,0,3,f9,f0,18,4,4,0,1,0
32,2016,252,12,26,0,0,0,138.39,28.32,0,3,f9,f0,18,4,4,0,1,0
32,2016,252,12,26,1,0,0,138.14,28.55,0,3,f9,f0,18,4,4,0,1,0
32,2016,252,12,26,2,0,0,137.88,28.78,0,3,f9,f0,18,4,4,0,1,0
33,2016,252,12,26,3,0,0,137.62,29.01,0,3,f9,f0,18,4,4,0,1,0
33,2016,252,12,26,4,0,0,137.36,29.23,0,3,f9,f0,18,4,4,0,1,0
33,2016,252,12,26,5,0,0,137.1,29.46,0,3,f9,f0,18,4,4,0,1,0
33,2016,252,12,26,6,0,0,136.84,29.69,0,3,f9,f0,18,4,4,0,1,0
33,2016,252,12,26,7,0,0,136.58,29.92,0,3,f9,f0,18,4,4,0,1,0
33,2016,252,12,26,8,0,0,136.32,30.15,0,3,f9,f0,18,4,4,0,1,0
33,2016,252,12,26,9,0,0,136.05,30.38,0,3,f9,f0,18,4,4,0,1,0
33,2016,252,12,26,10,0,0,135.8,30.6,0,3,f9,f0,18,4,4,0,1,0
33,2016,252,12,26,11,0,0,135.5,30.85,0,3,f9,f0,18,4,4,0,1,0
33,2016,252,12,26,12,0,0,135.18,31.09,0,3,f9,f0,18,4,4,0,1,0
34,2016,252,12,26,13,0,0,134.88,31.33,0,3,f9,f0,18,4,4,0,1,0
34,2016,252,12,26,14,0,0,134.58,31.57,0,3,f9,f0,18,4,4,0,1,0
34,2016,252,12,26,15,0,0,134.27,31.82,0,3,f9,f0,18,4,4,0,1,0
34,2016,252,12,26,16,0,0,133.97,32.06,0,3,f9,f0,18,4,4,0,1,0
34,2016,252,12,26,17,0,0,133.66,32.3,0,3,f9,f0,18,4,4,0,1,0
34,2016,252,12,26,18,0,0,133.36,32.54,0,3,f9,f0,18,4,4,0,1,0
34,2016,252,12,26,19,0,0,133.05,32.79,0,3,f9,f0,18,4,4,0,1,0
34,2016,252,12,26,20,0,0,132.74,33.04,0,3,f9,f0,18,4,4,0,1,0
34,2016,252,12,26,21,0,0,132.38,33.3,0,3,f9,f0,18,4,4,0,1,0
34,2016,252,12,26,22,0,0,132.03,33.55,0,3,f9,f0,18,4,4,0,1,0
35,2016,252,12,26,23,0,0,131.67,33.81,0,3,f9,f0,18,4,4,0,1,0
35,2016,252,12,26,24,0,0,131.31,34.06,0,3,f9,f0,18,4,4,0,1,0
35,2016,252,12,26,25,0,0,130.95,34.32,0,3,f9,f0,18,4,4,0,1,0
35,2016,252,12,26,26,0,0,130.59,34.58,0,3,f9,f0,18,4,4,0,1,0
35,2016,252,12,26,27,0,0,130.24,34.83,0,3,f9,f0,18,4,4,0,1,0
35,2016,252,12,26,28,0,0,129.88,35.09,0,3,f9,f0,18,4,4,0,1,0
35,2016,252,12,26,29,0,0,129.53,35.34,0,3,f9,f0,18,4,4,0,1,0
35,2016,252,12,26,30,0,0,129.17,35.6,0,3,f9,f0,18,4,4,0,1,0
35,2016,252,12,26,31,0,0,128.7,35.89,0,3,f9,f0,18,4,4,0,1,0
35,2016,252,12,26,32,0,0,128.28,36.16,0,3,f9,f0,18,4,4,0,1,0
36,2016,252,12,26,33,0,0,127.85,36.43,0,3,f9,f0,18,4,4,0,1,0
36,2016,252,12,26,34,0,0,127.46,36.67,0,3,f9,f0,18,4,4,0,1,0
36,2016,252,12,26,35,0,0,127.05,36.94,0,3,f9,f0,18,4,4,0,1,0
36,2016,252,12,26,36,0,0,126.62,37.2,0,3,f9,f0,18,4,4,0,1,0
36,2016,252,12,26,37,0,0,126.16,37.49,0,3,f9,f0,18,4,4,0,1,0
36,2016,252,12,26,38,0,0,125.73,37.76,0,3,f9,f0,18,4,4,0,1,0
36,2016,252,12,26,39,0,0,125.3,38.03,0,3,f9,f0,18,4,4,0,1,0
36,2016,252,12,26,40,0,0,124.92,38.27,0,3,f9,f0,18,4,4,0,1,0
36,2016,252,12,26,41,0,0,124.41,38.54,0,3,f9,f0,18,4,4,0,1,0
36,2016,252,12,26,42,0,0,123.91,38.82,0,3,f9,f0,18,4,4,0,1,0
37,2016,252,12,26,43,0,0,123.4,39.08,0,3,f9,f0,18,4,4,0,1,0
37,2016,252,12,26,44,0,0,122.85,39.38,0,3,f9,f0,18,4,4,0,1,0
37,2016,252,12,26,45,0,0,122.34,39.65,0,3,f9,f0,18,4,4,0,1,0
37,2016,252,12,26,46,0,0,121.89,39.9,0,3,f9,f0,18,4,4,0,1,0
37,2016,252,12,26,47,0,0,121.38,40.17,0,3,f9,f0,18,4,4,0,1,0
37,2016,252,12,26,48,0,0,120.88,40.44,0,3,f9,f0,18,4,4,0,1,0
37,2016,252,12,26,49,0,0,120.37,40.71,0,3,f9,f0,18,4,4,0,1,0
37,2016,252,12,26,50,0,0,119.86,40.98,0,3,f9,f0,18,4,4,0,1,0
37,2016,252,12,26,51,0,0,119.2,41.27,0,3,f9,f0,18,4,4,0,1,0
37,2016,252,12,26,52,0,0,118.61,41.53,0,3,f9,f0,18,4,4,0,1,0
38,2016,252,12,26,53,0,0,118.08,41.77,0,3,f9,f0,18,4,4,0,1,0
38,2016,252,12,26,54,0,0,117.46,42.04,0,3,f9,f0,18,4,4,0,1,0
38,2016,252,12,26,55,0,0,116.86,42.31,0,3,f9,f0,18,4,4,0,1,0
38,2016,252,12,26,56,0,0,116.25,42.58,0,3,f9,f0,18,4,4,0,1,0
38,2016,252,12,26,57,0,0,115.66,42.84,0,3,f9,f0,18,4,4,0,1,0
38,2016,252,12,26,58,0,0,115,43.12,0,3,f9,f0,18,4,4,0,1,0
38,2016,252,12,26,59,0,0,114.4,43.4,0,3,f9,f0,18,4,4,0,1,0
38,2016,252,12,27,0,0,0,113.86,43.63,0,3,f9,f0,18,4,4,0,1,0
38,2016,252,12,27,1,0,0,113.15,43.87,0,3,f9,f0,18,4,4,0,1,0
38,2016,252,12,27,2,0,0,112.44,44.12,0,3,f9,f0,18,4,4,0,1,0
39,2016,252,12,27,3,0,0,111.73,44.36,0,3,f9,f0,18,4,4,0,1,0
39,2016,252,12,27,4,0,0,111.02,44.6,0,3,f9,f0,18,4,4,0,1,0
39,2016,252,12,27,5,0,0,110.24,44.87,0,3,f9,f0,18,4,4,0,1,0
39,2016,252,12,27,6,0,0,109.61,45.09,0,3,f9,f0,18,4,4,0,1,0
39,2016,252,12,27,7,0,0,108.9,45.33,0,3,f9,f0,18,4,4,0,1,0
39,2016,252,12,27,8,0,0,108.19,45.58,0,3,f9,f0,18,4,4,0,1,0
39,2016,252,12,27,9,0,0,107.49,45.82,0,3,f9,f0,18,4,4,0,1,0
39,2016,252,12,27,10,0,0,106.78,46.06,0,3,f9,f0,18,4,4,0,1,0
39,2016,252,12,27,11,0,0,105.95,46.26,0,3,f9,f0,18,4,4,0,1,0
39,2016,252,12,27,12,0,0,105.06,46.49,0,3,f9,f0,18,4,4,0,1,0
40,2016,252,12,27,13,0,0,104.32,46.67,0,3,f9,f0,18,4,4,0,1,0
40,2016,252,12,27,14,0,0,103.49,46.87,0,3,f9,f0,18,4,4,0,1,0
40,2016,252,12,27,15,0,0,102.67,47.08,0,3,f9,f0,18,4,4,0,1,0
40,2016,252,12,27,16,0,0,101.86,47.28,0,3,f9,f0,18,4,4,0,1,0
40,2016,252,12,27,17,0,0,101.04,47.48,0,3,f9,f0,18,4,4,0,1,0
40,2016,252,12,27,18,0,0,100.21,47.68,0,3,f9,f0,18,4,4,0,1,0
40,2016,252,12,27,19,0,0,99.4,47.89,0,3,f9,f0,18,4,4,0,1,0
40,2016,252,12,27,20,0,0,98.59,48.09,0,3,f9,f0,18,4,4,0,1,0
40,2016,252,12,27,21,0,0,97.65,48.23,0,3,f9,f0,18,4,4,0,1,0
40,2016,252,12,27,22,0,0,96.72,48.37,0,3,f9,f0,18,4,4,0,1,0
41,2016,252,12,27,23,0,0,95.82,48.51,0,3,f9,f0,18,4,4,0,1,0
41,2016,252,12,27,24,0,0,94.9,48.66,0,3,f9,f0,18,4,4,0,1,0
41,2016,252,12,27,25,0,0,93.98,48.8,0,3,f9,f0,18,4,4,0,1,0
41,2016,252,12,27,26,0,0,93.07,48.94,0,3,f9,f0,18,4,4,0,1,0
41,2016,252,12,27,27,0,0,92.14,49.08,0,3,f9,f0,18,4,4,0,1,0
41,2016,252,12,27,28,0,0,91.22,49.22,0,3,f9,f0,18,4,4,0,1,0
41,2016,252,12,27,29,0,0,90.31,49.36,0,3,f9,f0,18,4,4,0,1,0
41,2016,252,12,27,30,0,0,89.38,49.5,0,3,f9,f0,18,4,4,0,1,0
41,2016,252,12,27,31,0,0,88.39,49.56,0,3,f9,f0,18,4,4,0,1,0
41,2016,252,12,27,32,0,0,87.32,49.63,0,3,f9,f0,18,4,4,0,1,0
42,2016,252,12,27,33,0,0,86.44,49.68,0,3,f9,f0,18,4,4,0e2a,1,0
42,2016,252,12,27,34,0,0,85.45,49.74,0,3,f9,f0,18,4,4,0e2a,1,0
42,2016,252,12,27,35,0,0,84.47,49.8,0,3,f9,f0,18,4,4,0e2a,1,0
42,2016,252,12,27,36,0,0,83.48,49.86,0,3,f9,f0,18,4,4,0e2a,1,0
42,2016,252,12,27,37,0,0,82.5,49.92,0,3,f9,f0,18,4,4,0e2a,1,0
42,2016,252,12,27,38,0,0,81.52,49.98,0,3,f9,f0,18,4,4,0e2a,1,0
42,2016,252,12,27,39,0,0,80.54,50.04,0,3,f9,f0,18,4,4,0e2a,1,0
42,2016,252,12,27,40,0,0,79.56,50.1,0,3,f9,f0,18,4,4,0e2a,1,0
42,2016,252,12,27,41,0,0,78.56,50.11,0,3,f9,f0,18,4,4,0e2a,1,0
42,2016,252,12,27,42,0,0,77.57,50.08,0,3,f9,f0,18,4,4,0e2a,1,0
43,2016,252,12,27,43,0,0,76.57,50.02,0,3,f9,f0,18,4,4,0e2b,1,0
43,2016,252,12,27,44,0,0,75.57,49.99,0,3,f9,f0,18,4,4,0e2b,1,0
43,2016,252,12,27,45,0,0,74.58,49.96,0,3,f9,f0,18,4,4,0e2b,1,0
43,2016,252,12,27,46,0,0,73.59,49.93,0,3,f9,f0,18,4,4,0e2b,1,0
43,2016,252,12,27,47,0,0,72.59,49.9,0,3,f9,f0,18,4,4,0e2b,1,0
43,2016,252,12,27,48,0,0,71.61,49.87,0,3,f9,f0,18,4,4,0e2b,1,0
43,2016,252,12,27,49,0,0,70.61,49.85,0,3,f9,f0,18,4,4,0e2b,1,0
43,2016,252,12,27,50,0,0,69.6,49.82,0,3,f9,f0,18,4,4,0e2b,1,0
43,2016,252,12,27,51,0,0,68.66,49.71,0,3,f9,f0,18,4,4,0e2b,1,0
43,2016,252,12,27,52,0,0,67.7,49.59,0,3,f9,f0,18,4,4,0e2b,1,0
44,2016,252,12,27,53,0,0,66.76,49.48,0,3,f9,f0,18,4,4,0e2c,1,0
44,2016,252,12,27,54,0,0,65.83,49.37,0,3,f9,f0,18,4,4,0e2c,1,0
44,2016,252,12,27,55,0,0,65.16,49.24,0,0,f9,f0,18,4,4,0e2c,1,0
44,2016,252,12,27,56,0,0,64.04,49.14,0,0,f9,f0,18,4,4,0e2c,1,0
44,2016,252,12,27,57,0,0,63.14,49.07,0,0,f9,f0,18,4,4,0e2c,1,0
44,2016,252,12,27,58,0,0,62.26,48.98,0,0,f9,f0,18,4,4,0e2c,1,0
44,2016,252,12,27,59,0,0,61.36,48.87,0,0,f9,f0,18,4,4,0e2c,1,0
44,2016,252,12,28,0,0,0,60.48,48.75,0,0,f9,f0,18,4,4,0e2c,1,0
44,2016,252,12,28,1,0,0,59.59,48.61,0,0,f9,f0,18,4,4,0e2c,1,0
44,2016,252,12,28,2,0,0,58.67,48.47,0,0,f9,f0,18,4,4,0e2c,1,0
45,2016,252,12,28,3,0,0,57.76,48.32,0,0,f9,f0,18,4,4,0e2d,1,0
45,2016,252,12,28,4,0,0,56.89,48.17,0,0,f9,f0,18,4,4,0e2d,1,0
45,2016,252,12,28,5,0,0,56.01,48,0,0,f9,f0,18,4,4,0e2d,1,0
45,2016,252,12,28,6,0,0,55.16,47.83,0,0,f9,f0,18,4,4,0e2d,1,0
45,2016,252,12,28,7,0,0,54.33,47.65,0,0,f9,f0,18,4,4,0e2d,1,0
45,2016,252,12,28,8,0,0,53.49,47.45,0,0,f9,f0,18,4,4,0e2d,1,0
45,2016,252,12,28,9,0,0,52.68,47.25,0,0,f9,f0,18,4,4,0e2d,1,0
45,2016,252,12,28,10,0,0,51.85,47.04,0,0,f9,f0,18,4,4,0e2d,1,0
45,2016,252,12,28,11,0,0,51.04,46.83,0,0,f9,f0,18,4,4,0e2d,1,0
45,2016,252,12,28,12,0,0,50.25,46.61,0,0,f9,f0,18,4,4,0e2d,1,0
46,2016,252,12,28,13,0,0,49.46,46.4,0,0,f9,f0,18,4,4,0e2e,1,0
46,2016,252,12,28,14,0,0,48.7,46.17,0,0,f9,f0,18,4,4,0e2e,1,0
46,2016,252,12,28,15,0,0,47.95,45.95,0,0,f9,f0,18,4,4,0e2e,1,0
46,2016,252,12,28,16,0,0,47.2,45.73,0,0,f9,f0,18,4,4,0e2e,1,0
46,2016,252,12,28,17,0,0,46.46,45.5,0,0,f9,f0,18,4,4,0e2e,1,0
46,2016,252,12,28,18,0,0,45.74,45.27,0,0,f9,f0,18,4,4,0e2e,1,0
46,2016,252,12,28,19,0,0,45.03,45.03,0,0,f9,f0,18,4,4,0e2e,1,0
46,2016,252,12,28,20,0,0,44.33,44.79,0,0,f9,f0,18,4,4,0e2e,1,0
46,2016,252,12,28,21,0,0,43.63,44.54,0,0,f9,f0,18,4,4,0e2e,1,0
46,2016,252,12,28,22,0,0,42.95,44.29,0,0,f9,f0,18,4,4,0e2e,1,0
47,2016,252,12,28,23,0,0,42.3,44.02,0,0,f9,f0,18,4,4,0e2f,1,0
47,2016,252,12,28,24,0,0,41.63,43.76,0,0,f9,f0,18,4,4,0e2f,1,0
47,2016,252,12,28,25,0,0,40.98,43.48,0,0,f9,f0,18,4,4,0e2f,1,0
47,2016,252,12,28,26,0,0,40.35,43.19,0,0,f9,f0,18,4,4,0e2f,1,0
47,2016,252,12,28,27,0,0,39.72,42.9,0,0,f9,f0,18,4,4,0e2f,1,0
47,2016,252,12,28,28,0,0,39.11,42.61,0,0,f9,f0,18,4,4,0e2f,1,0
47,2016,252,12,28,29,0,0,38.49,42.3,0,0,f9,f0,18,4,4,0e2f,1,0
47,2016,252,12,28,30,0,0,37.91,41.98,0,0,f9,f0,18,4,4,0e2f,1,0
47,2016,252,12,28,31,0,0,37.33,41.68,0,0,f9,f0,18,4,4,0e2f,1,0
47,2016,252,12,28,32,0,0,36.76,41.4,0,0,f9,f0,18,4,4,0e2f,1,0
48,2016,252,12,28,33,0,0,36.2,41.13,0,0,f9,f0,18,4,4,0,1,0
48,2016,252,12,28,34,0,0,35.66,40.88,0,0,f9,f0,18,4,4,0,1,0
48,2016,252,12,28,35,0,0,35.11,40.64,0,0,f9,f0,18,4,4,0,1,0
48,2016,252,12,28,36,0,0,34.56,40.38,0,0,f9,f0,18,4,4,0,1,0
48,2016,252,12,28,37,0,0,33.95,40.1,0,0,f9,f0,18,4,4,0,1,0
48,2016,252,12,28,38,0,0,33.49,39.86,0,0,f9,f0,18,4,4,0,1,0
48,2016,252,12,28,39,0,0,32.96,39.6,0,0,f9,f0,18,4,4,0,1,0
48,2016,252,12,28,40,0,0,32.46,39.33,0,0,f9,f0,18,4,4,0,1,0
48,2016,252,12,28,41,0,0,31.97,39.07,0,0,f9,f0,18,4,4,0,1,0
48,2016,252,12,28,42,0,0,31.5,38.79,0,0,f9,f0,18,4,4,0,1,0
49,2016,252,12,28,43,0,0,31.04,38.51,0,0,f9,f0,18,4,4,0,1,0
49,2016,252,12,28,44,0,0,30.59,38.23,0,0,f9,f0,18,4,4,0,1,0
49,2016,252,12,28,45,0,0,30.12,37.93,0,0,f9,f0,18,4,4,0,1,0
49,2016,252,12,28,46,0,0,29.68,37.65,0,0,f9,f0,18,4,4,0,1,0
49,2016,252,12,28,47,0,0,29.24,37.37,0,0,f9,f0,18,4,4,0,1,0
49,2016,252,12,28,48,0,0,28.81,37.1,0,0,f9,f0,18,4,4,0,1,0
49,2016,252,12,28,49,0,0,28.37,36.83,0,0,f9,f0,18,4,4,0,1,0
49,2016,252,12,28,50,0,0,27.94,36.57,0,0,f9,f0,18,4,4,0,1,0
49,2016,252,12,28,51,0,0,27.52,36.31,0,0,f9,f0,18,4,4,0,1,0
49,2016,252,12,28,52,0,0,27.11,36.06,0,0,f9,f0,18,4,4,0,1,0
50,2016,252,12,28,53,0,0,26.71,35.8,0,0,f9,f0,18,4,4,0,1,0
50,2016,252,12,28,54,0,0,26.32,35.54,0,0,f9,f0,18,4,4,0,1,0
50,2016,252,12,28,55,0,0,25.94,35.28,0,0,f9,f0,18,4,4,0,1,0
50,2016,252,12,28,56,0,0,25.57,35.02,0,0,f9,f0,18,4,4,0,1,0
50,2016,252,12,28,57,0,0,25.19,34.77,0,0,f9,f0,18,4,4,0,1,0
50,2016,252,12,28,58,0,0,24.83,34.52,0,0,f9,f0,18,4,4,0,1,0
50,2016,252,12,28,59,0,0,24.48,34.27,0,0,f9,f0,18,4,4,0,1,0
50,2016,252,12,29,0,0,0,24.13,34.02,0,0,f9,f0,18,4,4,0,1,0
50,2016,252,12,29,1,0,0,23.78,33.76,0,0,f9,f0,18,4,4,0,1,0
50,2016,252,12,29,2,0,0,23.44,33.49,0,0,f9,f0,18,4,4,0,1,0
51,2016,252,12,29,3,0,0,23.09,33.22,0,0,f9,f0,18,4,4,0,1,0
51,2016,252,12,29,4,0,0,22.76,32.96,0,0,f9,f0,18,4,4,0,1,0
51,2016,252,12,29,5,0,0,22.44,32.71,0,0,f9,f0,18,4,4,0,1,0
51,2016,252,12,29,6,0,0,22.12,32.46,0,0,f9,f0,18,4,4,0,1,0
51,2016,252,12,29,7,0,0,21.81,32.21,0,0,f9,f0,18,4,4,0,1,0
51,2016,252,12,29,8,0,0,21.5,31.98,0,0,f9,f0,18,4,4,0,1,0
51,2016,252,12,29,9,0,0,21.21,31.74,0,0,f9,f0,18,4,4,0,1,0
51,2016,252,12,29,10,0,0,20.9,31.51,0,0,f9,f0,18,4,4,0,1,0
51,2016,252,12,29,11,0,0,20.59,31.27,0,0,f9,f0,18,4,4,0,1,0
51,2016,252,12,29,12,0,0,20.31,31.05,0,0,f9,f0,18,4,4,0,1,0
52,2016,252,12,29,13,0,0,20,30.81,0,0,f9,f0,18,4,4,0,1,0
52,2016,252,12,29,14,0,0,19.71,30.58,0,0,f9,f0,18,4,4,0,1,0
52,2016,252,12,29,15,0,0,19.43,30.33,0,0,f9,f0,18,4,4,0,1,0
52,2016,252,12,29,16,0,0,19.16,30.09,0,0,f9,f0,18,4,4,0,1,0
52,2016,252,12,29,17,0,0,18.9,29.84,0,0,f9,f0,18,4,4,0,1,0
52,2016,252,12,29,18,0,0,18.65,29.59,0,0,f9,f0,18,4,4,0,1,0
52,2016,252,12,29,19,0,0,18.41,29.36,0,0,f9,f0,18,4,4,0,1,0
52,2016,252,12,29,20,0,0,18.15,29.13,0,0,f9,f0,18,4,4,0,1,0
52,2016,252,12,29,21,0,0,17.89,28.9,0,0,f9,f0,18,4,4,0,1,0
52,2016,252,12,29,22,0,0,17.62,28.68,0,0,f9,f0,18,4,4,0,1,0
53,2016,252,12,29,23,0,0,17.38,28.48,0,0,f9,f0,18,4,4,0,1,0
53,2016,252,12,29,24,0,0,17.13,28.27,0,0,f9,f0,18,4,4,0,1,0
53,2016,252,12,29,25,0,0,16.89,28.06,0,0,f9,f0,18,4,4,0,1,0
53,2016,252,12,29,26,0,0,16.67,27.86,0,0,f9,f0,18,4,4,0,1,0
53,2016,252,12,29,27,0,0,16.45,27.64,0,0,f9,f0,18,4,4,0,1,0
53,2016,252,12,29,28,0,0,16.21,27.43,0,0,f9,f0,18,4,4,0,1,0
53,2016,252,12,29,29,0,0,15.99,27.21,0,0,f9,f0,18,4,4,0,1,0
53,2016,252,12,29,30,0,0,15.77,26.98,0,0,f9,f0,18,4,4,0,1,0
53,2016,252,12,29,31,0,0,15.54,26.75,0,0,f9,f0,18,4,4,0,1,0
53,2016,252,12,29,32,0,0,15.33,26.54,0,0,f9,f0,18,4,4,0,1,0
54,2016,252,12,29,33,0,0,15.11,26.33,0,0,f9,f0,18,4,4,0,1,0
54,2016,252,12,29,34,0,0,14.88,26.12,0,0,f9,f0,18,4,4,0,1,0
54,2016,252,12,29,35,0,0,14.68,25.93,0,0,f9,f0,18,4,4,0,1,0
54,2016,252,12,29,36,0,0,14.48,25.72,0,0,f9,f0,18,4,4,0,1,0
54,2016,252,12,29,37,0,0,14.27,25.53,0,0,f9,f0,18,4,4,0,1,0
54,2016,252,12,29,38,0,0,14.09,25.34,0,0,f9,f0,18,4,4,0,1,0
54,2016,252,12,29,39,0,0,13.89,25.14,0,0,f9,f0,18,4,4,0,1,0
54,2016,252,12,29,40,0,0,13.7,24.95,0,0,f9,f0,18,4,4,0,1,0
54,2016,252,12,29,41,0,0,13.53,24.75,0,0,f9,f0,18,4,4,0,1,0
54,2016,252,12,29,42,0,0,13.31,24.56,0,0,f9,f0,18,4,4,0,1,0
55,2016,252,12,29,43,0,0,13.14,24.37,0,0,f9,f0,18,4,4,0,1,0
55,2016,252,12,29,44,0,0,12.96,24.18,0,0,f9,f0,18,4,4,0,1,0
55,2016,252,12,29,45,0,0,12.78,23.99,0,0,f9,f0,18,4,4,0,1,0
55,2016,252,12,29,46,0,0,12.59,23.79,0,0,f9,f0,18,4,4,0,1,0
55,2016,252,12,29,47,0,0,12.41,23.6,0,0,f9,f0,18,4,4,0,1,0
55,2016,252,12,29,48,0,0,12.24,23.41,0,0,f9,f0,18,4,4,0,1,0
55,2016,252,12,29,49,0,0,12.06,23.24,0,0,f9,f0,18,4,4,0,1,0
55,2016,252,12,29,50,0,0,11.9,23.06,0,0,f9,f0,18,4,4,0,1,0
55,2016,252,12,29,51,0,0,11.73,22.89,0,0,f9,f0,18,4,4,0,1,0
55,2016,252,12,29,52,0,0,11.57,22.72,0,0,f9,f0,18,4,4,0,1,0
56,2016,252,12,29,53,0,0,11.41,22.55,0,0,f9,f0,18,4,4,0,1,0
56,2016,252,12,29,54,0,0,11.25,22.36,0,0,f9,f0,18,4,4,0,1,0
56,2016,252,12,29,55,0,0,11.09,22.18,0,0,f9,f0,18,4,4,0,1,0
56,2016,252,12,29,56,0,0,10.93,21.98,0,0,f9,f0,18,4,4,0,1,0
56,2016,252,12,29,57,0,0,10.79,21.8,0,0,f9,f0,18,4,4,0,1,0
56,2016,252,12,29,58,0,0,10.63,21.6,0,0,f9,f0,18,4,4,0,1,0
56,2016,252,12,29,59,0,0,10.49,21.41,0,0,f9,f0,18,4,4,0,1,0
56,2016,252,12,30,0,0,0,10.33,21.23,0,0,f9,f0,18,4,4,0,1,0
56,2016,252,12,30,1,0,0,10.19,21.08,0,0,f9,f0,18,4,4,0,1,0
56,2016,252,12,30,2,0,0,10.04,20.92,0,0,f9,f0,18,4,4,0,1,0
57,2016,252,12,30,3,0,0,9.89,20.78,0,0,f9,f0,18,4,4,0,1,0
57,2016,252,12,30,4,0,0,9.75,20.62,0,0,f9,f0,18,4,4,0,1,0
57,2016,252,12,30,5,0,0,9.59,20.48,0,0,f9,f0,18,4,4,0,1,0
57,2016,252,12,30,6,0,0,9.46,20.32,0,0,f9,f0,18,4,4,0,1,0
57,2016,252,12,30,7,0,0,9.32,20.16,0,0,f9,f0,18,4,4,0,1,0
57,2016,252,12,30,8,0,0,9.18,19.98,0,0,f9,f0,18,4,4,0,1,0
57,2016,252,12,30,9,0,0,9.05,19.8,0,0,f9,f0,18,4,4,0,1,0
57,2016,252,12,30,10,0,0,8.93,19.63,0,0,f9,f0,18,4,4,0,1,0
57,2016,252,12,30,11,0,0,8.79,19.46,0,0,f9,f0,18,4,4,0,1,0
57,2016,252,12,30,12,0,0,8.67,19.31,0,0,f9,f0,18,4,4,0,1,0
58,2016,252,12,30,13,0,0,8.56,19.17,0,0,f9,f0,18,4,4,0e3a,1,0
58,2016,252,12,30,14,0,0,8.43,19.02,0,0,f9,f0,18,4,4,0e3a,1,0
58,2016,252,12,30,15,0,0,8.29,18.89,0,0,f9,f0,18,4,4,0e3a,1,0
58,2016,252,12,30,16,0,0,8.18,18.74,0,0,f9,f0,18,4,4,0e3a,1,0
