BkNo,Year,Day,hh,mm,ss,mss,ns,Azimuth(deg),Elevation(deg)Tv,DvTSnRSnDTpSTpSId,BkCtSRtInTim,,,,,,,,
7,2016,252,12,21,49,0,0,158.81,1.56,0,3,f9,f0,18,4,4,0,1,0
7,2016,252,12,21,50,0,0,158.81,1.56,0,3,f9,f0,18,4,4,0,1,0
7,2016,252,12,21,51,0,0,158.75,1.56,0,3,f9,f0,18,4,4,0,1,0
7,2016,252,12,21,52,0,0,158.72,1.56,0,3,f9,f0,18,4,4,0,1,0
8,2016,252,12,21,53,0,0,158.72,1.54,0,3,f9,f0,18,4,4,0,1,0
8,2016,252,12,21,54,0,0,158.67,1.54,0,3,f9,f0,18,4,4,0,1,0
8,2016,252,12,21,55,0,0,158.65,1.54,0,3,f9,f0,18,4,4,0,1,0
8,2016,252,12,21,56,0,0,158.63,1.54,0,3,f9,f0,18,4,4,0,1,0
8,2016,252,12,21,57,0,0,158.59,1.54,0,3,f9,f0,18,4,4,0,1,0
8,2016,252,12,21,58,0,0,158.57,1.54,0,3,f9,f0,18,4,4,0,1,0
8,2016,252,12,21,59,0,0,158.53,1.54,0,3,f9,f0,18,4,4,0,1,0
8,2016,252,12,22,0,0,0,158.51,1.54,0,3,f9,f0,18,4,4,0,1,0
8,2016,252,12,22,1,0,0,158.47,1.54,0,3,f9,f0,18,4,4,0,1,0
8,2016,252,12,22,2,0,0,158.46,1.55,0,3,f9,f0,18,4,4,0,1,0
9,2016,252,12,22,3,0,0,158.42,1.55,0,3,f9,f0,18,4,4,0,1,0
9,2016,252,12,22,4,0,0,158.39,1.55,0,3,f9,f0,18,4,4,0,1,0
9,2016,252,12,22,5,0,0,158.36,1.55,0,3,f9,f0,18,4,4,0,1,0
9,2016,252,12,22,6,0,0,158.33,1.55,0,3,f9,f0,18,4,4,0,1,0
9,2016,252,12,22,7,0,0,158.31,1.55,0,3,f9,f0,18,4,4,0,1,0
9,2016,252,12,22,8,0,0,158.27,1.55,0,3,f9,f0,18,4,4,0,1,0
9,2016,252,12,22,9,0,0,158.26,1.55,0,3,f9,f0,18,4,4,0,1,0
9,2016,252,12,22,10,0,0,158.21,1.55,0,3,f9,f0,18,4,4,0,1,0
9,2016,252,12,22,11,0,0,158.19,1.58,0,3,f9,f0,18,4,4,0,1,0
9,2016,252,12,22,12,0,0,158.15,1.66,0,3,f9,f0,18,4,4,0,1,0
10,2016,252,12,22,13,0,0,158.13,1.72,0,3,f9,f0,18,4,4,0e0a,1,0
10,2016,252,12,22,14,0,0,158.09,1.77,0,3,f9,f0,18,4,4,0e0a,1,0
10,2016,252,12,22,15,0,0,158.06,1.82,0,3,f9,f0,18,4,4,0e0a,1,0
10,2016,252,12,22,16,0,0,158.03,1.87,0,3,f9,f0,18,4,4,0e0a,1,0
10,2016,252,12,22,17,0,0,157.99,1.93,0,3,f9,f0,18,4,4,0e0a,1,0
10,2016,252,12,22,18,0,0,157.96,1.98,0,3,f9,f0,18,4,4,0e0a,1,0
10,2016,252,12,22,19,0,0,157.93,2.04,0,3,f9,f0,18,4,4,0e0a,1,0
10,2016,252,12,22,20,0,0,157.9,2.09,0,3,f9,f0,18,4,4,0e0a,1,0
10,2016,252,12,22,21,0,0,157.86,2.16,0,3,f9,f0,18,4,4,0e0a,1,0
10,2016,252,12,22,22,0,0,157.84,2.23,0,3,f9,f0,18,4,4,0e0a,1,0
11,2016,252,12,22,23,0,0,157.8,2.3,0,3,f9,f0,18,4,4,0e0b,1,0
11,2016,252,12,22,24,0,0,157.77,2.37,0,3,f9,f0,18,4,4,0e0b,1,0
11,2016,252,12,22,25,0,0,157.73,2.44,0,3,f9,f0,18,4,4,0e0b,1,0
11,2016,252,12,22,26,0,0,157.71,2.5,0,3,f9,f0,18,4,4,0e0b,1,0
11,2016,252,12,22,27,0,0,157.66,2.57,0,3,f9,f0,18,4,4,0e0b,1,0
11,2016,252,12,22,28,0,0,157.64,2.64,0,3,f9,f0,18,4,4,0e0b,1,0
11,2016,252,12,22,29,0,0,157.6,2.71,0,3,f9,f0,18,4,4,0e0b,1,0
11,2016,252,12,22,30,0,0,157.57,2.78,0,3,f9,f0,18,4,4,0e0b,1,0
11,2016,252,12,22,31,0,0,157.53,2.86,0,3,f9,f0,18,4,4,0e0b,1,0
11,2016,252,12,22,32,0,0,157.5,2.93,0,3,f9,f0,18,4,4,0e0b,1,0
12,2016,252,12,22,33,0,0,157.47,3,0,3,f9,f0,18,4,4,0e0c,1,0
12,2016,252,12,22,34,0,0,157.43,3.07,0,3,f9,f0,18,4,4,0e0c,1,0
12,2016,252,12,22,35,0,0,157.39,3.14,0,3,f9,f0,18,4,4,0e0c,1,0
12,2016,252,12,22,36,0,0,157.36,3.21,0,3,f9,f0,18,4,4,0e0c,1,0
12,2016,252,12,22,37,0,0,157.32,3.29,0,3,f9,f0,18,4,4,0e0c,1,0
12,2016,252,12,22,38,0,0,157.29,3.36,0,3,f9,f0,18,4,4,0e0c,1,0
12,2016,252,12,22,39,0,0,157.25,3.43,0,3,f9,f0,18,4,4,0e0c,1,0
12,2016,252,12,22,40,0,0,157.22,3.5,0,3,f9,f0,18,4,4,0e0c,1,0
12,2016,252,12,22,41,0,0,157.18,3.58,0,3,f9,f0,18,4,4,0e0c,1,0
12,2016,252,12,22,42,0,0,157.15,3.65,0,3,f9,f0,18,4,4,0e0c,1,0
13,2016,252,12,22,43,0,0,157.11,3.72,0,3,f9,f0,18,4,4,0e0d,1,0
13,2016,252,12,22,44,0,0,157.07,3.81,0,3,f9,f0,18,4,4,0e0d,1,0
13,2016,252,12,22,45,0,0,157.03,3.87,0,3,f9,f0,18,4,4,0e0d,1,0
13,2016,252,12,22,46,0,0,157,3.95,0,3,f9,f0,18,4,4,0e0d,1,0
13,2016,252,12,22,47,0,0,156.96,4.02,0,3,f9,f0,18,4,4,0e0d,1,0
13,2016,252,12,22,48,0,0,156.93,4.09,0,3,f9,f0,18,4,4,0e0d,1,0
13,2016,252,12,22,49,0,0,156.89,4.17,0,3,f9,f0,18,4,4,0e0d,1,0
13,2016,252,12,22,50,0,0,156.85,4.24,0,3,f9,f0,18,4,4,0e0d,1,0
13,2016,252,12,22,51,0,0,156.81,4.31,0,3,f9,f0,18,4,4,0e0d,1,0
13,2016,252,12,22,52,0,0,156.77,4.39,0,3,f9,f0,18,4,4,0e0d,1,0
14,2016,252,12,22,53,0,0,156.73,4.47,0,3,f9,f0,18,4,4,0e0e,1,0
14,2016,252,12,22,54,0,0,156.69,4.55,0,3,f9,f0,18,4,4,0e0e,1,0
14,2016,252,12,22,55,0,0,156.66,4.63,0,3,f9,f0,18,4,4,0e0e,1,0
14,2016,252,12,22,56,0,0,156.62,4.7,0,3,f9,f0,18,4,4,0e0e,1,0
14,2016,252,12,22,57,0,0,156.58,4.78,0,3,f9,f0,18,4,4,0e0e,1,0
14,2016,252,12,22,58,0,0,156.54,4.86,0,3,f9,f0,18,4,4,0e0e,1,0
14,2016,252,12,22,59,0,0,156.5,4.93,0,3,f9,f0,18,4,4,0e0e,1,0
14,2016,252,12,23,0,0,0,156.46,5.01,0,3,f9,f0,18,4,4,0e0e,1,0
14,2016,252,12,23,1,0,0,156.42,5.09,0,3,f9,f0,18,4,4,0e0e,1,0
14,2016,252,12,23,2,0,0,156.37,5.17,0,3,f9,f0,18,4,4,0e0e,1,0
15,2016,252,12,23,3,0,0,156.33,5.25,0,3,f9,f0,18,4,4,0e0f,1,0
15,2016,252,12,23,4,0,0,156.29,5.33,0,3,f9,f0,18,4,4,0e0f,1,0
15,2016,252,12,23,5,0,0,156.25,5.41,0,3,f9,f0,18,4,4,0e0f,1,0
15,2016,252,12,23,6,0,0,156.2,5.49,0,3,f9,f0,18,4,4,0e0f,1,0
15,2016,252,12,23,7,0,0,156.16,5.57,0,3,f9,f0,18,4,4,0e0f,1,0
15,2016,252,12,23,8,0,0,156.12,5.65,0,3,f9,f0,18,4,4,0e0f,1,0
15,2016,252,12,23,9,0,0,156.07,5.73,0,3,f9,f0,18,4,4,0e0f,1,0
15,2016,252,12,23,10,0,0,156.03,5.81,0,3,f9,f0,18,4,4,0e0f,1,0
15,2016,252,12,23,11,0,0,155.98,5.9,0,3,f9,f0,18,4,4,0e0f,1,0
15,2016,252,12,23,12,0,0,155.94,5.98,0,3,f9,f0,18,4,4,0e0f,1,0
